"" "" "" "" "" "" "" "X" "Z1" "Z2" "Z3" "X" "Z1" "Z2" "Z3" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
"result.1" 1000 0.2 0.1 0.25 -1.6094379124341 2 240 -1.55299922427397 -0.420667244406752 1.23800944715641 0.448926161297788 -2.07519046799014 -0.310566528922244 1.18905079811481 0.443652291157765 -1.80701987219004 -0.257822905538187 1.143082869986 0.443389141348267 -1.81173766490418 -0.270553809475907 1.15234773279267 0.443007589841127 0.0538017551044742 0.0179275355885383 0.0210080670893315 0.00446686415225063 0.0513902557678826 0.0180893792528267 0.0212509573838141 0.00444794047328034 0.0612232760004299 0.0184108169484441 0.0231276824319094 0.00407630003902106 0.0608465649879906 0.0182948032407898 0.0230370710017925 0.00407488857973192
"result.2" 1000 0.2 0.1 0.25 -1.6094379124341 2 231 -1.41558003465151 -0.152935070710056 0.979250601840232 0.333424742037477 -1.91319399234849 -0.0845691498893365 0.877766487640211 0.318877157085085 -1.6924687836151 -0.0279574540064493 0.841686114911422 0.329851749581466 -1.69333970628908 -0.0266036188207293 0.851676205297018 0.330382726894152 0.0534770808093782 0.0181171069673854 0.0200614127501739 0.00389495748620897 0.0515648604362638 0.0180368030838666 0.0208612348868889 0.00383650744581237 0.0747991121895277 0.0198681835550157 0.0208546506676962 0.00391400313269343 0.0751354726224743 0.0198713758259035 0.020682815272366 0.00390714127059997
"result.3" 1000 0.2 0.1 0.25 -1.6094379124341 2 246 -1.1709068016932 -0.4210290725183 1.08887605596266 0.361074157119269 -1.73541165976649 -0.301138600588417 0.954449123381637 0.367613348440338 -1.54674951992491 -0.282726181117144 0.926753213077991 0.361248547691791 -1.53526789116159 -0.290741205900538 0.935771964075952 0.360279014065286 0.0449156515671746 0.0180744665414125 0.0178749081475326 0.00383595837947363 0.0432979898136387 0.0182721090067074 0.018236792761062 0.00382070680263541 0.0568065559820402 0.0191434116022549 0.021925412498518 0.00350869092279639 0.0568997269885167 0.0191103502573195 0.0217600440662998 0.00349822617277258
"result.4" 1000 0.2 0.1 0.25 -1.6094379124341 2 235 -1.34667163853772 -0.365493047335512 0.955095033199084 0.476893595910402 -1.89907014610592 -0.231663212903948 0.855427218988341 0.501805456390759 -1.76109627379088 -0.14758397025607 0.825719951945993 0.478316037220545 -1.76235640577675 -0.158165133219549 0.836183191706271 0.476203008611117 0.043615742138525 0.0178885843723851 0.0154957365676728 0.0051270546083709 0.0420350287695255 0.0181038304845476 0.0156423105892708 0.00506960032353878 0.0494751050125773 0.018102400999978 0.0142847110457052 0.00539244005901371 0.0496162931741369 0.01807692555826 0.0141898758902863 0.00537424043094344
"result.5" 1000 0.2 0.1 0.25 -1.6094379124341 2 232 -1.67843520294927 -0.542402226918454 0.990978343223146 0.44350203328388 -2.12026077485041 -0.468234984843535 0.933546768515246 0.44234704374352 -2.0510860354998 -0.416420592743723 0.852051165184776 0.454400198305305 -2.0503765814343 -0.427406659085925 0.860057050721919 0.454727312581052 0.057508420445694 0.0182937426930185 0.014291231859358 0.00455817632484297 0.0549187660906205 0.0183205792166309 0.0151915601075242 0.00449424391520424 0.0701062316098636 0.0191585127324362 0.0218570567996109 0.0043584730154555 0.0691704467904669 0.0190927623257001 0.0218201216618338 0.00436582842082558
"result.6" 1000 0.2 0.1 0.25 -1.6094379124341 2 246 -1.57797436670636 -0.483756429417512 0.734114576030093 0.469501525722209 -2.09774547301504 -0.365771781822603 0.674197310094852 0.475126363772229 -1.85700914323801 -0.34925216032519 0.617690694060929 0.470256994134432 -1.86027731698786 -0.359075078898497 0.618877902526348 0.46988018353221 0.0558729182274726 0.017818210730492 0.0183012112248682 0.00451361286319389 0.053448621838381 0.0179531540578504 0.0186584582546376 0.0044792181884989 0.0666376918020863 0.0181250777560076 0.021777859779043 0.00450810585270052 0.066708833709077 0.0180880007785031 0.0217344196722562 0.0045065686655529
"result.7" 1000 0.2 0.1 0.25 -1.6094379124341 2 262 -1.2995142514614 -0.301673970402044 1.15405775205105 0.428859032347678 -1.87505796290625 -0.26053199692706 1.0823915874253 0.452557583794093 -1.68261261666462 -0.202464330612413 0.996676871742813 0.425943547335275 -1.6884313881368 -0.207348493882019 0.999852569893458 0.425737132354304 0.0442692153299794 0.0158910737778125 0.0147012533529952 0.00381289197093303 0.0421454155798069 0.0159560071678692 0.0150512257145944 0.00384211745842779 0.0540902435063442 0.0169829645435101 0.0174182585592768 0.00386213548106791 0.053615060139685 0.0169566365934339 0.0174193433492047 0.00385388558464898
"result.8" 1000 0.2 0.1 0.25 -1.6094379124341 2 235 -1.20915087501317 -0.368964635776036 0.898176221879951 0.374972550754044 -1.76615993772998 -0.228936352593616 0.831040487620299 0.383187771455377 -1.55703642142215 -0.215303638807499 0.775589120287174 0.373776658144604 -1.55213368394764 -0.21495482724017 0.779907074133832 0.374323321713501 0.0431249230243245 0.0179374842818555 0.0185225249078485 0.00448504904818666 0.0411727306756109 0.0180956586644338 0.0189668428305644 0.00449814238863998 0.0514343076238241 0.0182527161048598 0.0183076586779437 0.00455836740788196 0.0505817510612779 0.0182296899415055 0.0182454766992718 0.00456266485910173
"result.9" 1000 0.2 0.1 0.25 -1.6094379124341 2 237 -1.27855468819765 -0.201776729027336 0.963835100568337 0.313877747332232 -1.85433494465513 -0.0790552762154386 0.908523746732233 0.322445372527031 -1.62120743402514 -0.0222906324473078 0.870317235868207 0.317314126388772 -1.61819580924272 -0.0179267978832141 0.884698084078882 0.31825579810023 0.0451245319869981 0.0175779968804143 0.0190231055329224 0.004200247225531 0.0432393227284707 0.0177000381405563 0.0193567287145616 0.00443730298688635 0.0556306550763815 0.0195002877603312 0.0184053166829926 0.00432154955837669 0.0552523936147678 0.0195318868491884 0.0183192661682249 0.00432404819289523
"result.10" 1000 0.2 0.1 0.25 -1.6094379124341 2 240 -1.20117888873732 -0.328030782686819 1.04928427950744 0.226467815831169 -1.79717168440734 -0.218286260488847 0.934208554196772 0.247133696777725 -1.47046273799457 -0.218238573417383 0.896217005919301 0.228377947137898 -1.48196603447515 -0.229792706787721 0.902163182192136 0.228517532071064 0.0463913341463515 0.0174533806365263 0.016429898343662 0.00419091592617109 0.0449514483114834 0.0175354033391966 0.0169131574457515 0.00429491557656084 0.0641110140503913 0.0175544011730471 0.0174813612059033 0.00390665796464508 0.0643179446182626 0.0174731849917027 0.0173008731914004 0.00390707268937466
