"" "" "" "" "" "" "" "X" "Z1" "Z2" "Z3" "X" "Z1" "Z2" "Z3" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
"result.1" 1000 0.2 0.1 0.25 -0.693147180559945 2 326 -0.63896898874497 -0.436495756485751 0.877823586876121 0.388176041868338 -1.2565095639687 -0.349002112485747 0.773931036004798 0.387568747284913 -0.806035743088064 -0.361720668949331 0.796453281838431 0.386554318344324 -0.796485751353788 -0.364022576729379 0.797998537360429 0.386509569821765 0.0256579716404025 0.0128007863783884 0.0138318586483931 0.00319898164312119 0.023992561580783 0.0128507818455169 0.0138057328123861 0.00328309476777816 0.0452747730422484 0.0139918952040084 0.017018681665559 0.00328018878478441 0.0433037355116333 0.0139020120537718 0.016940984023465 0.00328092788658086
"result.2" 1000 0.2 0.1 0.25 -0.693147180559945 2 314 -0.416198490738572 -0.395261022792763 1.0044356794146 0.373878653698657 -0.997426240779372 -0.30669823001233 0.943308830683763 0.368118461600329 -0.617426890643587 -0.331131706991109 0.968109650700415 0.370149977183482 -0.609923907147261 -0.336692677157384 0.968285914983278 0.370147385494338 0.0240106613844701 0.0131452120119447 0.0136362948877927 0.00368349330803804 0.0225353630819804 0.013229428108274 0.0140556964374209 0.00377523471297616 0.0367749122911443 0.0137151992104646 0.0139118675406963 0.00390942427990451 0.0371986702866484 0.0136345084142911 0.0139004388404602 0.00390747172039673
"result.3" 1000 0.2 0.1 0.25 -0.693147180559945 2 284 -0.559830547040113 -0.386954620703633 1.07236591175151 0.399867533499465 -1.07661525193843 -0.276583044733629 1.01748739966175 0.39933236686002 -0.709957734010348 -0.307191337078534 1.00522035781133 0.404187190013257 -0.717500997170522 -0.302544593277186 1.0079001933979 0.403793114881634 0.0277225497712586 0.0148778367677427 0.0167384836599848 0.00390655729158658 0.0264014350994235 0.0151604765072033 0.0174066294519439 0.00383748049525015 0.0423742862004929 0.0168803203502178 0.0197574563599681 0.00399029473774437 0.041951142850827 0.0169521175431709 0.0196705167190881 0.00398859859881949
"result.4" 1000 0.2 0.1 0.25 -0.693147180559945 2 315 -0.674798867368784 -0.336136879731499 0.80999105383984 0.379555808699702 -1.19531858559401 -0.242873662985671 0.684776894806509 0.365344998403663 -0.758461259698943 -0.266509068898809 0.743246494382734 0.37760679304349 -0.747045877966131 -0.26804979052615 0.741643927323174 0.377653221952313 0.027099639562778 0.0133310131552106 0.0145772403828926 0.00352728126881005 0.0259974389787245 0.0133750231320846 0.0147768750995108 0.003526107772966 0.0424104901201619 0.0144150225175306 0.0160357205930868 0.00312983972263946 0.0416590006569381 0.0144098719257578 0.0161017332005933 0.00313052506613797
"result.5" 1000 0.2 0.1 0.25 -0.693147180559945 2 284 -0.57893991659572 -0.300473821899986 1.01669153600898 0.471751055484668 -1.09184639226064 -0.193066632058825 0.951440746187015 0.46852369329208 -0.730705246340182 -0.215089308142756 0.945442438464089 0.470728933770212 -0.726190847356003 -0.216660625660431 0.953990497241784 0.470228001131469 0.0280843654590344 0.014876443650395 0.0149664825828482 0.00396409616552281 0.0264489786629576 0.0150689166624519 0.0155673927203902 0.00392565088982192 0.0369065005308779 0.0160141836422126 0.015440767624348 0.0041962647336634 0.0373607818817362 0.0160367320147597 0.0152941270153344 0.00419471946372333
"result.6" 1000 0.2 0.1 0.25 -0.693147180559945 2 287 -0.724131338638618 -0.317696367690805 1.19143998633994 0.379110101522494 -1.26783978617437 -0.248171998133359 1.13403230223313 0.369525402576589 -0.829102821947716 -0.247219531479229 1.13724368323289 0.37723176873864 -0.819156559938682 -0.250798652349801 1.13773059681164 0.376844242241125 0.0269483880719455 0.0142957347018442 0.0151139088539791 0.00367712183897158 0.0252451411264239 0.0144048400676493 0.015580382157562 0.00363196221027643 0.0420418986115762 0.0153206027306741 0.0159889285719798 0.00379535605429671 0.0422100965986473 0.0153122072815749 0.0159924644902877 0.0037947261922441
"result.7" 1000 0.2 0.1 0.25 -0.693147180559945 2 307 -0.434617662945472 -0.178650864181584 0.860247828720114 0.317619688958416 -1.08861775964586 -0.059044915225633 0.765745586359321 0.312840152164385 -0.618754036052432 -0.107977500407995 0.805897620354788 0.313233561482457 -0.627034479673932 -0.106729875303769 0.808781769465128 0.31281769877694 0.0256593357536402 0.0134791352301242 0.0142979437469033 0.00380304455186191 0.0243574095539104 0.0136105547970396 0.0144799831466562 0.00391584011533319 0.0352530568277469 0.0149915706557141 0.01586890268116 0.0037103112817476 0.0355612109692952 0.0149638900414692 0.0158019132575011 0.00370882652418528
"result.8" 1000 0.2 0.1 0.25 -0.693147180559945 2 297 -0.724882567238335 -0.22356364791155 0.863954468294409 0.415749969554251 -1.20684585531679 -0.131597551951987 0.771358902584526 0.39667871391605 -0.977468057669498 -0.131657267031919 0.772153623165175 0.409126272160586 -0.964793061997785 -0.134428926699763 0.779693242294084 0.408202324863311 0.0272555485410817 0.0140709704041412 0.0149000114501705 0.00366477529284269 0.0262730704942778 0.0141815394597947 0.0152447118687518 0.00363904689265303 0.0362491742959319 0.0151308246430407 0.0154612827741058 0.00407434244577202 0.035771858791854 0.0150935441718822 0.0153755338336872 0.00408189797467003
"result.9" 1000 0.2 0.1 0.25 -0.693147180559945 2 327 -0.725527088878813 -0.416883842368475 1.07172448719781 0.386275100209525 -1.21728750361916 -0.325181195965628 1.00021890485207 0.380540379986001 -0.87050807959512 -0.343535549903266 0.999920727137183 0.383851413982224 -0.873601812458177 -0.34178334274528 0.996301778705633 0.384224049793302 0.0246250651323747 0.0127408015916607 0.013973723017385 0.00295345167805647 0.0231233877585072 0.0128462501074011 0.0144857255122768 0.00297901121121341 0.0393706624832073 0.0138252899718108 0.0157607286982404 0.00314411149778492 0.0394004235779841 0.0138447863953756 0.0158116390004757 0.00314403001496665
"result.10" 1000 0.2 0.1 0.25 -0.693147180559945 2 283 -0.496832845643509 -0.178850463369262 0.932587941245217 0.381624757922531 -1.18263039459521 -0.0224911432047016 0.861758929573594 0.388682116947904 -0.687988144557913 -0.0874326853742764 0.875612369708101 0.381334658104713 -0.673109229665641 -0.0875437216061872 0.87894775603868 0.380425493268365 0.026664122723139 0.0148295619662773 0.0154302967018451 0.00412428407814098 0.025876586633884 0.0150873757830346 0.0159429499729255 0.00407106672174346 0.0394585531244769 0.0163043647992939 0.0156237148351435 0.00418188093645663 0.0400891203871719 0.0164251068848259 0.0156058499095599 0.00417970660206047
