"" "" "" "" "" "" "" "X" "Z1" "Z2" "Z3" "X" "Z1" "Z2" "Z3" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
"result.1" 1000 0.2 0.1 0.25 0.693147180559945 10 453 0.619363859842919 -0.319397238163667 0.918360759698759 0.428785479545002 0.411628813355668 -0.282701763746995 0.878451931444139 0.421307637953858 0.652999007250963 -0.340050930829748 0.938199943003201 0.429532462044318 0.652109663557574 -0.340890785082392 0.938063958992915 0.428833179581686 0.0114761125644327 0.0094989198205802 0.0110299507786124 0.00227304359411702 0.0110173799600788 0.00955001820950027 0.0110822319358692 0.00226289789270453 0.0135729420090818 0.00941850086999968 0.0105813361223854 0.00247971252163301 0.0135399882173781 0.00942284804540651 0.0105780909186774 0.00247715287457468
"result.2" 1000 0.2 0.1 0.25 0.693147180559945 10 464 0.568730065919076 -0.227680139138013 0.851866292338876 0.405351059698734 0.372156556798331 -0.196552996787795 0.807908221503783 0.401190720736474 0.584296417831534 -0.243198021270845 0.863068285004671 0.404769332032101 0.586986737088752 -0.243109989161444 0.865720335652742 0.404922138647082 0.0108135899536749 0.00900302270245095 0.0106137477807174 0.00220600650290379 0.010378135854171 0.00903115037906526 0.0106103631122078 0.00220054855133299 0.0126659958872082 0.00914353260928761 0.0114026551201822 0.00193725431322358 0.0129807706824568 0.00915085213256601 0.0114449616014508 0.00193785664799456
"result.3" 1000 0.2 0.1 0.25 0.693147180559945 10 442 0.681306378109634 -0.22003463556425 0.951693936976297 0.442249775701345 0.475515901939538 -0.175166410659462 0.91371564966229 0.446550486776183 0.744698942894527 -0.247089116749402 0.973675603336996 0.442083044946781 0.745591850000997 -0.249098423908082 0.976246146378921 0.441394096941708 0.0117052470805563 0.00978092905646154 0.00972069046147467 0.00277783185864696 0.0113040396698688 0.0098150663002882 0.00967264164042229 0.00276925074370469 0.0140067858973589 0.00992202320587281 0.00957621999129279 0.0027061476497696 0.0139919336779498 0.00993354841533771 0.0095828082052295 0.00270479898196431
"result.4" 1000 0.2 0.1 0.25 0.693147180559945 10 455 0.654479587481924 -0.427467849199675 0.894211101989998 0.356471594696112 0.428714811676536 -0.390235259825686 0.855167103549544 0.349134597397747 0.760503846549917 -0.461073973515238 0.928739138879174 0.358594509551396 0.756365723031681 -0.459839607411174 0.929396104437684 0.358521379303261 0.0112745826432862 0.0094994321347954 0.00971951639595489 0.00229153112901407 0.0107795514720674 0.00951045130312265 0.00973384586058566 0.00228231770018499 0.015062997538115 0.0093417300645747 0.00914931086015884 0.0019664708726462 0.0149462810254569 0.00933611032536359 0.00914851671031435 0.00196604498581621
"result.5" 1000 0.2 0.1 0.25 0.693147180559945 10 438 0.583615216891271 -0.315757772591371 0.950843524569035 0.519497158415437 0.370571426137065 -0.273160101457175 0.91032364416832 0.523961821298064 0.65477776348925 -0.343308020245557 0.976592553992129 0.520087809786183 0.652331684775807 -0.344551373970348 0.977280663282748 0.519978047993144 0.0118834831830007 0.00988919975157135 0.0114183487160453 0.00267274183353438 0.0113925065850295 0.00995486740791815 0.0114757805755261 0.0026691307379509 0.0153972167807885 0.00996312092039692 0.0121001964475724 0.00249161956685349 0.0153086948744626 0.00997722240269986 0.01211673785318 0.00249066533028485
"result.6" 1000 0.2 0.1 0.25 0.693147180559945 10 427 0.619924153785073 -0.175158969279311 1.16670679662905 0.459792507452734 0.379593380414209 -0.140833819280638 1.13031898895561 0.45888269757562 0.684170569194445 -0.19404408942275 1.1899380664003 0.460331106520484 0.683286635141819 -0.194282883258226 1.18891481540639 0.460177315442474 0.0124276978092835 0.00970903655830816 0.0110732034675772 0.00267005660013951 0.0117057081974059 0.00971622738854178 0.0111362929626751 0.00266899427733526 0.0159363416077823 0.00952614542648176 0.010882020207932 0.00257971385434202 0.0158822120667761 0.00952140663063336 0.0108704325921808 0.00257915429665118
"result.7" 1000 0.2 0.1 0.25 0.693147180559945 10 458 0.630612149292536 -0.300628620309543 0.768343196400708 0.412165170411178 0.404963840741103 -0.253099748666843 0.727335582399601 0.408859006289805 0.688930504904818 -0.325609286238669 0.785071751162951 0.41280863317954 0.692016675897986 -0.328204166459522 0.786950470117549 0.412862535028932 0.0113189833526564 0.00941664441939001 0.010317352612221 0.00246953787625704 0.0107316403525941 0.00944496834968292 0.0102510531087907 0.00246142279803797 0.0148380106022782 0.00993795588951229 0.0116723319666128 0.00257838014082651 0.0148458766734159 0.00994946202636954 0.0116749563846812 0.00257856191526754
"result.8" 1000 0.2 0.1 0.25 0.693147180559945 10 450 0.71401162075389 -0.294100290668116 0.999322330557358 0.421907510344397 0.490497473341625 -0.254189426504229 0.949302328936479 0.416785752533844 0.787411612695707 -0.32219039245762 1.03179898808988 0.423109787287963 0.789678934116342 -0.324821216340877 1.0352226639887 0.42317781733094 0.011376811063451 0.00960573052757631 0.0113353636693543 0.00292264809706551 0.0109714116945315 0.00965983333649814 0.0113270465261082 0.00292089471836965 0.014722008448207 0.00972048906902516 0.0129966325129316 0.00312338155905511 0.0147088272089353 0.00974285381707628 0.0130150566158489 0.00312429851279213
"result.9" 1000 0.2 0.1 0.25 0.693147180559945 10 477 0.447214369865604 -0.246837858877769 0.674192697214926 0.349953855749849 0.251322973202533 -0.217655577418851 0.62948074287188 0.347166657780095 0.497997210481172 -0.264372454494454 0.697209263381366 0.350846274894245 0.497858486656322 -0.263905875781368 0.698180443511716 0.35084415820175 0.010741695125208 0.00877054090204207 0.00936309742846374 0.00216627970482434 0.0103166772560301 0.0087918050354449 0.00947421414236768 0.0021581357209161 0.0135447945641572 0.00888978132331582 0.00914633677970295 0.00198202918060215 0.0135513722735447 0.00888550472482064 0.00915274244313035 0.0019820698309556
"result.10" 1000 0.2 0.1 0.25 0.693147180559945 10 458 0.580608543703273 -0.136232174758593 0.989376718085261 0.422855117514036 0.380349770782641 -0.108060213953299 0.952382509023816 0.42064928733809 0.632755063402101 -0.155411810147137 1.00744105688642 0.422762722221033 0.632293664498425 -0.155142139939038 1.0082744839381 0.423096372741589 0.0104014030022058 0.00906683948253601 0.00962305652655296 0.00242774352487416 0.0100713320897764 0.00910554156409979 0.00962220823111792 0.00243627266167533 0.0122260861987592 0.00854696851121801 0.00857844575550915 0.00223041901972127 0.0121563321236948 0.0085422378280959 0.00858739368873095 0.00223071990260554
"result.11" 1000 0.2 0.1 0.25 0.693147180559945 10 444 0.614637517722333 -0.233733844807572 0.827303137966631 0.400078204123422 0.422220841920051 -0.197012567100855 0.786777536283336 0.393412293142223 0.696223265104472 -0.26333832405908 0.853842692393355 0.403422937635233 0.695098232024483 -0.26374222330245 0.855048316534315 0.403782288471835 0.0113620861681058 0.00977171502356309 0.0102035251381296 0.002249617232961 0.0111012688512211 0.00982843242234146 0.0102997234278759 0.00223791105769659 0.0148540240541884 0.0100496305009576 0.0101747155421511 0.00220383811284878 0.0148173834957995 0.0100610830425079 0.010183506746522 0.00220459606793139
"result.12" 1000 0.2 0.1 0.25 0.693147180559945 10 447 0.629456551395618 -0.198008083539934 0.954219172626245 0.525824036654459 0.426035872345961 -0.156852249685421 0.917429282430968 0.52122218212303 0.650375644700693 -0.215046926899034 0.971377203194739 0.525214043541911 0.650967382217049 -0.215824828821959 0.971499785010532 0.525027122839985 0.0115106772205433 0.00961175871298113 0.0105376482623894 0.00243903351320761 0.011126806349101 0.00962946205749166 0.0105715358857616 0.0024363622522146 0.0185044579981763 0.010501567477663 0.0111996249881926 0.0026572319066386 0.0154059582329032 0.0102673599232683 0.0109506990834614 0.00265736544339722
"result.13" 1000 0.2 0.1 0.25 0.693147180559945 10 438 0.654729678350232 -0.210430913502437 0.99510710045487 0.460635878760301 0.440862923794594 -0.176908794119853 0.949429798444961 0.452825982066312 0.722253659642368 -0.237148711760304 1.02331915583423 0.461621346688497 0.722023131376826 -0.237402999686182 1.02368165992873 0.462164114936182 0.0118518673648542 0.00964268614404082 0.0113309472468099 0.0026084946847202 0.0113754784433103 0.00971203947017015 0.0113133313531352 0.00261476005706962 0.0153861947653505 0.00927750253919833 0.0111645798046776 0.00224182958505243 0.014689674366165 0.00926565604025983 0.0111099919055293 0.00224078199275811
"result.14" 1000 0.2 0.1 0.25 0.693147180559945 10 439 0.73001500621457 -0.356526802153528 0.830611001996342 0.414051480504496 0.523257501991276 -0.31915488638566 0.803523744288891 0.405398879300052 0.798933959734997 -0.380174459321791 0.855172909582005 0.414723015518478 0.797819414927409 -0.380045592550292 0.856098457148185 0.415075375366309 0.0114096604046367 0.00969930839892306 0.00963169800830528 0.00250474558429163 0.0108961932280027 0.00969530459153607 0.00963862451647347 0.00249454530439612 0.0145892511416446 0.0101640498802795 0.00992487764469725 0.00273432004930032 0.0145585798653822 0.0101708078660949 0.00993088611843967 0.00273588362483106
"result.15" 1000 0.2 0.1 0.25 0.693147180559945 10 451 0.490093396082546 -0.225835735867078 0.778630535995737 0.439561709938621 0.292083449699012 -0.199728329692389 0.735145068335183 0.437095525810335 0.536979579760736 -0.242310998877436 0.797101533341161 0.43964029848434 0.537136879021113 -0.241892607202049 0.797508717136188 0.43912846443216 0.0112298015740583 0.00932539152230545 0.0106032282266979 0.00252927106726855 0.0107367903905897 0.00936840796895951 0.0105690798185309 0.00250918544111274 0.0147202915073268 0.00955370275631446 0.0104486231596222 0.00257380724042622 0.117352798473604 0.0124673497284204 0.0164576586850858 0.00259587719854242
