"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "shape" "scale" "X" "X" "" "" "" "" "" "" "" "" "" "" "2.5%" "97.5%" "2.5%" "97.5%"
"result.1" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -1.6094379124341 10 358 200 2.02485386535528 5.43074161192975 -1.44111128228964 -1.58996860782587 -1.49534611251881 -1.49188031153898 -1.46675821921623 -1.46699956318278 0.0561886138356956 0.0552562730548436 0.0570077898124286 0.056938410392811 0.0759984155517497 0.0663750791863539 -2.09254346294386 -0.988504151276213 -2.09186510975448 -1.0518967123682
"result.2" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -1.6094379124341 10 361 200 1.86756293637649 6.53751594115846 -1.69488439731368 -1.84215218944761 -1.73306044245051 -1.73129926254942 -1.71960453676463 -1.71782794506664 0.0913919033836049 0.0904100606762326 0.0931526741815516 0.0930936142976088 0.0921157582936167 0.11649522757232 -2.28734268364053 -1.16946370336553 -2.5083841572176 -1.21526665597434
"result.3" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -1.6094379124341 10 343 200 1.75527148936534 6.45123065390347 -1.18597724989699 -1.34679029814718 -1.20507039306906 -1.20550891756339 -1.19800182071127 -1.19568693780219 0.0645635562777484 0.0635229961412793 0.0658933772644793 0.0659598728794202 0.0559552455572372 0.0576908648691723 -1.68768531614375 -0.79941941647395 -1.72992495072435 -0.799357159438383
"result.4" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -1.6094379124341 10 357 200 1.78328729721015 6.31648702516984 -1.76333734466637 -1.90352783551186 -1.79216633766005 -1.79629275924184 -1.78303731452807 -1.78010769487463 0.0801613302949906 0.0790498568655432 0.0822461149778445 0.0825220259710008 0.0811676706462626 0.0780276629103345 -2.45405358772201 -1.24568453367811 -2.39915525073027 -1.32537935318773
"result.5" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -1.6094379124341 10 343 200 1.5849751458201 6.58674185454262 -1.86542837601192 -2.01911384530142 -1.90858220868549 -1.91161318535005 -1.90861751376999 -1.91066194660309 0.0918507638076905 0.0908290511581155 0.0859115833729079 0.0859674780502876 0.128237186042092 0.109589510589446 -2.72676037270811 -1.4147950057072 -2.67373314423129 -1.43448794066398
"result.6" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -1.6094379124341 10 354 200 1.85585749484408 6.33952938562154 -1.62459588980731 -1.78550713243036 -1.66374790245089 -1.66399452805766 -1.64966314420104 -1.64792461964659 0.0854244392447392 0.0844556035415818 0.090304857872329 0.0902367418561656 0.0893374925484075 0.0938705875163277 -2.25424581435322 -1.13448450285079 -2.32945725131098 -1.08986293450075
"result.7" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -1.6094379124341 10 358 200 1.92055378465751 6.70754571831691 -1.28690701406747 -1.43914079433607 -1.31884920254941 -1.3203064665017 -1.29828325947388 -1.29719331773246 0.0711530494220982 0.0700724399490517 0.0658461204741003 0.0658858777916095 0.0622769946499422 0.0716475750737149 -1.84748067492257 -0.882177960618414 -1.88849434577056 -0.832267336273637
"result.8" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -1.6094379124341 10 355 200 1.81933993707208 6.37965616848954 -1.21726403308676 -1.35391419802121 -1.24561723403222 -1.24612734461609 -1.22949262244566 -1.22830285891397 0.0556036468499014 0.0547630034310159 0.0555754097739649 0.0556086142619666 0.0566320070843429 0.0546898396022487 -1.70201947927779 -0.835847977839504 -1.72309573827032 -0.837533871025826
"result.9" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -1.6094379124341 10 343 200 1.9978062596102 6.43371217959464 -1.86379582573512 -2.00538875707246 -1.90588453502113 -1.90706344224754 -1.89515410643282 -1.8925493299709 0.12043128500815 0.119309941027167 0.12340604383946 0.123411275528833 0.14984602830705 0.15720249704841 -2.78794219336091 -1.31484937088209 -2.91278918565978 -1.38066528931361
"result.10" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -1.6094379124341 10 335 200 1.60180961967281 7.49021944497896 -1.65400700090786 -1.81925040854647 -1.69245158736304 -1.69736796181571 -1.68577964629379 -1.68768001040199 0.0990034963504787 0.0979575460945175 0.0970980164080494 0.0973113426500372 0.101038617755705 0.105130990345585 -2.42192197596031 -1.16563030180387 -2.35461972428782 -1.1865067258991
