"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "shape" "scale" "X" "X" "" "" "" "" "" "" "" "" "" "" "2.5%" "97.5%" "2.5%" "97.5%"
"result.1" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 451 200 1.48198498507534 14.0595358543149 1.18086814987522 0.436671942931797 1.3653939342992 1.37097438878947 1.37253616406344 1.44336557258648 0.0411206113326897 0.0405464658658289 0.0456128220333601 0.0445632723753549 0.0421816559150667 0.0496571199620751 0.976341934689241 1.77606479414597 1.04188832544683 1.85625076644613
"result.2" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 444 200 2.0427352973482 7.82002104123918 1.05699530820881 0.259616991361627 1.35003079914039 1.31752973958582 1.30438386438028 1.33337722374267 0.0327784266326664 0.0312108917929706 0.0567221005629869 0.0534148220207466 0.0432534725171052 0.0496356846367336 0.906629775145152 1.68040651803008 0.889199469345757 1.75995250255268
"result.3" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 470 200 1.27122892934961 15.5238442149862 1.05223992223795 0.398637051258743 1.26475516079085 1.25751943643439 1.26438573598628 1.2921149267509 0.031265816261917 0.0303931093254478 0.0476809986945832 0.0493707360855419 0.0442557996014216 0.0510469076414107 0.900093149793027 1.70253065718045 0.919118663051616 1.81374686978632
"result.4" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 468 200 1.66777912447595 9.92961468931177 1.29235360959135 0.47008109523307 1.58356635969335 1.51101483241662 1.46922491522291 1.61487057749211 0.0319623749906468 0.031228835608274 0.0523262819708495 0.0543473429371271 0.057087577197875 0.0569176989053855 1.0302018455448 2.01346891332665 1.15505808736885 2.10961543327506
"result.5" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 463 200 1.72063087026312 8.67070121782595 1.20973407527776 0.477446551498754 1.4806236057655 1.46276101147887 1.40519400591475 1.43463995342046 0.0276969507675384 0.0261137719944215 0.0406782533414521 0.0377436904538048 0.0392018080341625 0.0449044364621897 1.02787846233021 1.85868851131562 1.11087704282303 1.91080976247412
"result.6" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 448 200 1.63179307915808 9.29673104390439 1.04298642350479 0.324499981503787 1.26714576868479 1.25521633036992 1.26428092881261 1.30664925974498 0.0299526724568978 0.0287270517540403 0.0509339981275902 0.0498201864711732 0.048964348894169 0.0526002585372974 0.708405958244092 1.68329841454924 0.869623655722446 1.81382765849914
"result.7" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 479 200 1.81310162607407 9.06929776861095 1.02037606045754 0.334604324837259 1.23704537739881 1.24382640345542 1.22033749621389 1.31038613075152 0.0320506697860889 0.0307160654424133 0.0448262774538974 0.0404665146958494 0.0375256762459717 0.0399655383379722 0.903287109710852 1.68782659479359 0.980830914312452 1.82833659729106
"result.8" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 479 200 1.38197193784916 11.5197857090489 1.57911374736831 0.700169368620505 2.0364785037031 1.97223371341759 1.87844534506843 2.03396131231386 0.0241477968807145 0.0236367285421107 0.0592500004040447 0.0634154212601526 0.0635779246596339 0.0729060407427136 1.40474391906649 2.42837636676323 1.55455888593815 2.65842748982841
"result.9" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 450 200 1.56164282195127 10.4458120817097 1.09904617679805 0.30957425683317 1.24029155078455 1.22439131295067 1.14647263508273 1.21471147776213 0.0363927913118317 0.0356330522621883 0.0492228064046558 0.0496476454871681 0.0567037339599371 0.0531174510272614 0.686368452698983 1.62142098014718 0.825196196482026 1.6400118779088
"result.10" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 470 200 1.8784938478572 7.71499320624636 1.43740914542091 0.502050441738072 1.63297342004754 1.63386811070284 1.61694261941385 1.66737663059602 0.0263782686498893 0.0257285046516672 0.0429679964949668 0.0443945359494319 0.0484561779206165 0.0512719003109521 1.21779948240189 2.01931629536188 1.32671568468974 2.18881784454333
"result.11" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 484 200 1.66795848075848 10.8381595132271 1.07486332014871 0.401804658408297 1.16606903713951 1.1814960217189 1.05756346086874 1.17066084976704 0.033711400086609 0.0329873024782018 0.0367928050422214 0.0354681070968898 0.0318616792809482 0.0364091206284915 0.721770014156078 1.41366858700381 0.79763276917401 1.60317496090244
"result.12" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 457 200 1.79461958788802 9.30118397802644 1.36250432369917 0.564887497333726 1.58606081572101 1.5945305295826 1.45005639021273 1.61175749949316 0.0287961480761079 0.0275060022254564 0.0501679932734189 0.0495909386045252 0.0367811263879071 0.0593953918044874 1.0233379149413 1.85184860579908 1.17886959955566 2.22450664005535
"result.13" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 452 200 1.83892328788508 7.92588231969758 1.11851879177634 0.327122685348038 1.52669268234684 1.40566065399885 1.4551377849318 1.44355848445474 0.0329485613494768 0.0310116020122699 0.0644331048877161 0.0577013122308762 0.0603399064042449 0.0618027117797129 1.06933646408559 2.00808428475214 1.07649631950696 2.05529229914981
"result.14" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 457 200 1.65235314158055 9.90586661213819 1.39822661036911 0.517791439574471 1.56671591008759 1.58586060300245 1.49368048846507 1.61455354816385 0.0297269614839239 0.0286971582669561 0.0409240737432321 0.0418009149187597 0.0362538075165146 0.0542658545987395 1.16245857599057 1.89786952527306 1.1897755557468 2.02087647027726
"result.15" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 455 200 1.74211591070488 9.4502323311037 1.0720039702424 0.234286381107631 1.22280444579517 1.22782423168096 1.13446939912527 1.23126954182505 0.0346293129548531 0.0339181963222149 0.0598953807347047 0.0579877104072591 0.0485794310446797 0.0762355084502029 0.737715210050632 1.67538141035777 0.733603546506735 1.74457286626254
"result.16" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 483 200 1.46633322306735 10.8569896238817 1.24944023719139 0.506746167656437 1.43580920009539 1.43473752328256 1.40450029228731 1.41598354660576 0.0273529084098017 0.026936251288128 0.0318441203267827 0.0326869747656585 0.0289421535289001 0.0369743537894135 1.09263928717718 1.74903458337327 1.01665165176483 1.80237616965024
"result.17" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 441 200 1.5002929709074 10.4003699455364 1.41207572820223 0.563484047005273 1.75012756108561 1.73582689873431 1.67543917084478 1.78046369096768 0.0268181565243366 0.0258060867301511 0.0628839760688571 0.0637364921848531 0.0533284897337384 0.0945489180000372 1.30592046695548 2.24146036364309 1.2252226482201 2.3795763457788
"result.18" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 426 200 1.49385482569531 14.3941979823562 1.55971888722357 0.718902624433133 1.85876909465486 1.77257979628399 1.85962918080018 1.79824305572317 0.0386641112284591 0.038061513102758 0.0522228269589986 0.0504591735121543 0.049429287400085 0.0558977810732873 1.45724503996601 2.27465533784015 1.39149751796255 2.26651360543699
"result.19" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 492 200 1.85309278848138 8.15540383775341 1.04230246171396 0.212644570829476 1.3476313619056 1.29459228954528 1.20859501805525 1.33071179549677 0.0306194064900236 0.029125976335626 0.0561639028543859 0.0524987087691869 0.0525906399530656 0.0749892489179835 0.855709754030981 1.6837554571611 0.812600299105574 1.90528872947437
"result.20" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 447 200 1.98965883453522 7.86996418668584 1.17605437700568 0.27057672340631 1.39225410217512 1.37907778084083 1.27738264733165 1.40605908388277 0.0349104204509963 0.0333433922292397 0.0626117640540028 0.0561285780881322 0.0409801342748399 0.0934463552353742 0.922178787511277 1.68300256302166 0.928497903172603 2.19173479868249
"result.21" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 475 200 1.32989392444429 14.8644484614609 0.913318843784732 0.331634630552408 1.03701172302894 1.00400067363899 1.09536341385745 1.10606371926237 0.0341506828241594 0.0335062057189966 0.0352164964394145 0.0326420854931905 0.0458343885502823 0.0400782274069593 0.69549614060436 1.55702495796789 0.735172602626527 1.50825303550008
"result.22" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 453 200 1.54783033482031 11.0518376374635 1.16240305838187 0.49906201134787 1.35277617015931 1.33781771979784 1.33350025258987 1.3384166915095 0.029582257709334 0.0285793069274599 0.0358160573493935 0.0346428636653962 0.0299437215239321 0.0349449836339287 1.03519129321673 1.7450695668873 1.07799089519159 1.78687883082094
"result.23" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 492 200 1.56023700804701 10.208593348331 1.30876168476384 0.497408658823785 1.51056058695851 1.51722238775252 1.46549095784587 1.44173005533752 0.0253526439081201 0.0246763924040582 0.0328233544574938 0.0323186081392764 0.0325472997858824 0.0365700239232899 1.08750713784287 1.85196823848402 1.11083316076165 1.90917405534194
"result.24" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 461 200 1.41113574510212 11.9091003862266 1.15803616929249 0.490439154065949 1.32638661966069 1.31342219311369 1.30471534017334 1.3055899701915 0.0265124127545644 0.0257007059694317 0.0360273494349861 0.0351440320608105 0.0354037334032439 0.0382832693714711 0.955918528979483 1.6295386762754 0.96529004820219 1.69139319406691
"result.25" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 467 200 1.69571942678864 9.98141445662958 1.11020412875114 0.353451562379134 1.29508172857967 1.29164629341963 1.26366246942471 1.29217723415669 0.0329548075680345 0.0322600432165822 0.0402763846275733 0.0400273883014661 0.0380020810826383 0.039632694128033 0.919449928872494 1.66129584498205 0.969462723481716 1.7248027103251
"result.26" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 463 200 1.52815704089 11.0360468326583 1.03141720425153 0.288100785824456 1.25547411600103 1.21671228996815 1.20122866145406 1.31732720798427 0.0354756520226593 0.034090891971322 0.0658826941486475 0.0609767673779756 0.0635768447434535 0.0733327260342732 0.723026973233812 1.71312117830234 0.762035505139216 1.82269576300777
"result.27" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 506 200 2.17409911889611 6.37502317728077 0.929864920272353 0.219014531212187 1.18169700940864 1.17760761873798 1.25733435021491 1.23492899162452 0.0245839495606048 0.0236048810669212 0.0478611254291812 0.0442939445597707 0.0445762994892541 0.0615378116263252 0.81983832055191 1.6291620182797 0.82270704168558 1.75789328010911
"result.28" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 458 200 1.21028819115023 15.3627993472957 1.42534502240147 0.592377291764614 1.52449784820056 1.57006366425798 1.4708836689957 1.58649040047313 0.0281263087334957 0.0276043499770616 0.040544944498397 0.0424303097551901 0.035414650664604 0.0450726268128634 1.17871509129546 1.87783382229037 1.19734957021878 2.02474324378989
"result.29" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 464 200 1.58665911505233 11.9450782033961 1.08192929705589 0.413672428919045 1.32829714348313 1.27092879118898 1.34131920214085 1.31577867583543 0.0372556875731079 0.0357930485436669 0.0487429501269767 0.0450559018414047 0.0570889675383181 0.0449207630817011 0.960825631941944 1.89515547637058 0.969767032913846 1.81320044399874
"result.30" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 448 200 1.81550480144847 8.37105511401735 1.36078202668152 0.534092792087353 1.70263438632356 1.6041042684287 1.40463833537309 1.5269813377684 0.0287400991086359 0.0271488580278715 0.0532519985598398 0.0463468852810823 0.0392922345226522 0.0530564869153349 1.08391204304291 1.82356057348948 1.21784769269681 2.11548724164779
"result.31" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 460 200 1.73340395495112 10.8139733116272 1.36560920681187 0.515320225343105 1.49759545829461 1.51422514813702 1.47838695737023 1.60207026059238 0.0338739439009302 0.0330011320644235 0.0441366411560856 0.0443840995409084 0.0378497499158427 0.0671033416279941 1.10332342804087 1.85764968643543 1.17245496465088 2.14995396449027
"result.32" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 481 200 1.60667114783601 10.3135354935796 1.3856414110702 0.472398906994116 1.52008780426679 1.56401887319477 1.48566288463202 1.53144272748919 0.0300468420551454 0.0290520355403355 0.0350638300329488 0.0356891782186506 0.035180909867533 0.0398789824043528 1.16291774705644 1.8839064000071 1.21276680980942 1.95312481758553
"result.33" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 488 200 1.93049300802566 8.10944903912932 0.972239987303208 0.226695039247835 1.15394909936741 1.16106262382968 1.07292351455915 1.19924074001598 0.0312708702374455 0.0299555880890529 0.0376162916347298 0.0357821423549283 0.0356807476555526 0.0417094909510498 0.727027677160889 1.43077488712366 0.841313562547567 1.60045968471385
"result.34" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 465 200 1.60220061385696 10.7258812572392 1.3543711558547 0.465264614860195 1.49125397652644 1.52489030318481 1.49327684881673 1.62345469913849 0.0316419386112404 0.0307376999851925 0.0429450641603982 0.0447278816399532 0.0404862698750371 0.0615743878462183 1.16470987141683 1.89182494491801 1.17434085473799 2.11689483481892
"result.35" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 446 200 1.47539220472551 13.4410503856806 1.27914898182278 0.476808152895645 1.46323029191986 1.45543356944361 1.45880777255287 1.47413989820939 0.0378273799481406 0.0367058325621942 0.0511192760150052 0.0510625075320125 0.0444381029605546 0.0634164100796766 1.10664920633072 1.86783234929759 1.07337009948951 2.03691646232304
"result.36" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 464 200 1.571141516921 9.25347012817054 1.35015343860949 0.415532654981094 1.41634183995134 1.43674333193394 1.27457339851182 1.45325336996148 0.0249568435862325 0.0243720152399893 0.0314646102437106 0.0321001609276962 0.0287239498515025 0.0470196362331131 0.96067805270692 1.60971061536711 1.0654868392097 1.9248949097549
"result.37" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 469 200 1.52087251585073 10.9207033351104 1.36756175597305 0.468700702152795 1.66710243964188 1.61403947338842 1.65669682963015 1.79023809317743 0.0323011690589667 0.0306181980685648 0.0535179790977265 0.0531479216647974 0.0475783675499508 0.0591631212345653 1.25785084543147 2.12199953136762 1.38621176437738 2.31267056916513
"result.38" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 486 200 2.18415001791984 7.68878085566255 1.13774874424516 0.189279123220772 1.53118692815164 1.48367972374451 1.51357264520747 1.54465392915885 0.0373721293413729 0.0360114884348624 0.0732488982713905 0.0712220940730549 0.0708795158351762 0.0692434173247642 0.999583485577368 2.02528777952896 1.06869394286962 2.04502683566389
"result.39" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 447 200 1.60875125097481 10.7592347362502 1.36046140568892 0.588823458280776 1.64729180043711 1.60844683801316 1.5609448316086 1.54822045365223 0.0306854120334039 0.0298934737803143 0.044102473594398 0.0444734059996809 0.0454949986940337 0.0425668675138444 1.18928688154133 1.9945379629985 1.17517155983968 1.95818079579973
"result.40" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 453 200 1.344054745296 13.4150040362334 1.31679381112644 0.501631454775445 1.47173262064331 1.4978312046146 1.42492014385349 1.55583774204181 0.0309516392213697 0.0298871910979364 0.0403218907925631 0.0417392850582243 0.0383168640226562 0.0445111751193228 1.10959755780033 1.85476093471116 1.18286279689423 2.03261689121447
"result.41" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 490 200 1.49337397157771 10.379372699425 1.09705733259757 0.327518320272703 1.23575889946151 1.23843345939418 1.24069663747307 1.2694329801862 0.0279793525564924 0.0271591279975561 0.0371583862188292 0.0363842175369988 0.037279916603876 0.0398083067121382 0.876989608867412 1.64372846101753 0.890179712474322 1.66538299065422
"result.42" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 461 200 1.85772510660617 7.95705275739859 1.39703098505066 0.499410611234164 1.83797111523279 1.80848820832016 1.73380006331558 1.82573024670046 0.0272415870885803 0.0263880185529153 0.0572679883000124 0.0592009669030364 0.0581268814452131 0.0707224841749867 1.30021043009599 2.28763026971062 1.43363419975024 2.37809382326661
"result.43" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 472 200 2.00018774860745 8.91773378301729 1.29515949090821 0.39741539772543 1.60471557885967 1.5649542920858 1.53484010632892 1.55432822292093 0.0360124533131487 0.0347644115077321 0.0495214944465624 0.0482964370150652 0.0428897758606911 0.0516250866805663 1.1900207167888 1.89924824082192 1.13416507142669 1.9982389789849
"result.44" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 439 200 1.68809095220459 9.63408904542243 1.48562942359399 0.590917673221927 1.7683232334585 1.72431799602078 1.4403346145191 1.7662728078843 0.0307241446475574 0.0297386926279231 0.0479563962979134 0.0441530558410566 0.0318338566989108 0.061664340716523 1.1097552773447 1.8179896950265 1.38793033026498 2.42821389224267
"result.45" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 479 200 1.39850545813816 12.5910120667828 1.17013165289758 0.35937203882022 1.2508542726258 1.24818015571283 1.15936159268046 1.22137735963387 0.0322457814329465 0.0313314114262353 0.0424507289402753 0.0410499621834726 0.0406664744721356 0.052943796125243 0.769058816101072 1.57606860796781 0.831063621706903 1.75506134358585
"result.46" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 461 200 1.2557116698426 17.0419904321135 1.39826139739122 0.527852347085601 1.46549683718611 1.57483480793385 1.43659664665745 1.58485249004117 0.0353512041619571 0.0345928330962113 0.0355855006242545 0.0392778939125949 0.0334088836243081 0.0425424983820512 1.07904330622679 1.83297940890336 1.24833317367243 2.02419762917366
"result.47" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 463 200 1.97230575819625 8.51547488338304 1.39649870709176 0.540876804082598 1.66157381061592 1.66791148524321 1.67384465011961 1.77673337158956 0.0320647327382061 0.0311539171216359 0.0406057698520708 0.0399185082634082 0.0438319901991129 0.0496272098549371 1.27710107130843 2.13058220411879 1.35593574274147 2.19730398966405
"result.48" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 471 200 1.74339504427598 9.04545701788037 1.53123931830177 0.477865371032285 1.82688421546381 1.86113612525257 1.77393292887912 1.81010358963947 0.0276030242742847 0.0258968428980501 0.0407949577404934 0.0412833006369552 0.034715291803842 0.0555995576639864 1.45204313716506 2.16473260308788 1.41687640624089 2.29470305646836
"result.49" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 429 200 1.8459390405352 9.18359308827445 1.38613319235726 0.47492495524615 1.55206709567206 1.54517795806207 1.39222275566954 1.48015491649066 0.0351223056099735 0.0337705701739424 0.0553263647933948 0.0558309402555845 0.0449032701574072 0.0590678903659946 1.03960269777295 1.83330780978904 1.15022226962393 2.0421261986888
"result.50" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 479 200 1.65749912786713 9.16056987308162 1.33718503457682 0.57871810956222 1.45377182213444 1.46612879743282 1.36870270580256 1.4200844828524 0.0245517491364776 0.0236542022243956 0.0334263009826833 0.0317543591148269 0.0317570298664432 0.0378658026028641 1.0258503217456 1.71348964270121 1.11067418408891 1.85009596527998
"result.51" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 469 200 1.71463287271233 8.21338707085474 1.11972884935485 0.3726710948761 1.38652716010776 1.32159712697666 1.29248323513157 1.29859637818377 0.0256657435572069 0.0243739381896182 0.044964874141656 0.0403241263930109 0.0386242491632191 0.0545696157251814 0.974973135542471 1.7180075739685 0.924103214523815 1.80198501731351
"result.52" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 441 200 1.43941125823626 12.967068239398 1.55091089648493 0.642813390928005 1.75148101941407 1.75394664273997 1.68578633626434 1.66445419803183 0.0314128751000064 0.030560498592639 0.0523718824484787 0.0547295872242039 0.0571833163462392 0.0700282961153377 1.24673731000507 2.22404340184081 1.27585421746157 2.28110811939347
"result.53" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 462 200 1.65844875596608 9.66956365384561 1.18361582572337 0.428193897223546 1.3657293512578 1.34548800265248 1.30016022563914 1.42015257537524 0.0335244467662172 0.0323200721621668 0.0422075573908383 0.0409626914460869 0.0444594416386192 0.0566580712533492 0.926669808067685 1.70586632879681 0.984304690839187 1.88651047538252
"result.54" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 487 200 1.93491795469143 8.00705982109507 0.955833193301248 0.224648021938488 1.15483540422328 1.14082242337558 1.07810502285469 1.15797591595693 0.0306806797709793 0.0297945543534576 0.0469318572869265 0.0451079935514088 0.0444775387042873 0.0635632225161457 0.69251112903736 1.47787617126222 0.639961295409328 1.67739135668957
"result.55" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 2 469 200 1.43263879463379 13.1274026895651 1.16733095149685 0.454593219305919 1.48726683716147 1.42931936443698 1.60721815710572 1.54133003924358 0.0335688866228245 0.0319765799352482 0.0642304029999548 0.0611949672914708 0.0508693740916227 0.0686486202464915 1.14746242238473 2.00816933373269 1.12839191046607 2.16552575545116
