"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "shape" "scale" "X" "X" "" "" "" "" "" "" "" "" "" "" "2.5%" "97.5%" "2.5%" "97.5%"
"result.1" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -1.6094379124341 5 343 200 1.80305244848007 6.14087581569829 -1.81930832185181 -2.07748697396992 -1.88588622782069 -1.88980359551244 -1.8802468295088 -1.88088463002667 0.109935189410728 0.107795629339691 0.113065226170465 0.113373187391803 0.115821951462947 0.126636580827845 -2.67359362304585 -1.38474671409372 -2.67410092560867 -1.3289055148133
"result.2" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -1.6094379124341 5 361 200 1.75414494556343 6.8217046751546 -1.15413114551381 -1.47610342618135 -1.21545353926003 -1.21632053861689 -1.18871469202713 -1.1973292325836 0.075166916484916 0.0735211003614881 0.0796217214177105 0.079537898619002 0.0841613839249826 0.10120192778906 -1.84010683023411 -0.677094099494109 -1.90884393053804 -0.752747683827615
"result.3" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -1.6094379124341 5 348 200 2.1008756814443 5.89312621392527 -1.73320217716233 -2.05730362674033 -1.83446624011036 -1.83453636966979 -1.80292316496885 -1.79406826455091 0.121300541768145 0.118912338634687 0.129340277161581 0.12934167817485 0.117740166031778 0.175824586534886 -2.62390707561313 -1.24135412840375 -2.67894451952585 -1.19222464796217
"result.4" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -1.6094379124341 5 348 200 1.87196081994346 6.19083475744544 -1.35870715120117 -1.63473691020451 -1.43207800337527 -1.43128770245689 -1.42201755406136 -1.41429516664133 0.075246460287166 0.0736075567153318 0.0845840662377749 0.0841001720107553 0.0852964468818385 0.0949129964662102 -2.09294664558818 -0.96074248186071 -2.10742074017835 -0.903888855655267
"result.5" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -1.6094379124341 5 343 200 1.95809390678598 5.83330757214571 -1.32813634673505 -1.67623569288897 -1.42422233184245 -1.43709884271299 -1.41979123503961 -1.41443571406948 0.0816781585794226 0.0794622093613117 0.0891126345621339 0.0905291716550448 0.0925289598747502 0.127292149121706 -2.05079338222291 -0.847274268724602 -2.23723877513043 -0.837261875995048
"result.6" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -1.6094379124341 5 360 200 1.82860709765453 5.95039920646836 -1.57069197002923 -1.82864953234064 -1.64942952894924 -1.6599340335993 -1.62104986848306 -1.62376904206993 0.0718506253339051 0.0699250218864779 0.0758170209174466 0.0767083519476582 0.077506827680911 0.0779053030009159 -2.24658794935028 -1.19204144022497 -2.20393892652825 -1.13501854711714
"result.7" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -1.6094379124341 5 331 200 2.03750303238358 5.91244052566512 -1.63136658305735 -1.95783321452354 -1.71388256690557 -1.71016124752922 -1.69882742601312 -1.68937631788305 0.11008873779653 0.107639867875891 0.122381647718865 0.121829334015963 0.1056819230852 0.13291011404341 -2.37512248025468 -1.09814241727147 -2.43758400324954 -1.12222017854534
"result.8" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -1.6094379124341 5 348 200 2.13388337995923 5.54178574086222 -1.79948947402586 -2.10980127238467 -1.90509406461646 -1.90722586194804 -1.87359753868088 -1.86902251441831 0.100952093491361 0.0986089327705755 0.0982628973505153 0.0983485970239634 0.106932627491149 0.0846218148348727 -2.58910014794011 -1.3668969592996 -2.51790695601053 -1.36924355791548
"result.9" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -1.6094379124341 5 342 200 1.92782029684652 6.19634165630146 -2.05907685061898 -2.38031353188078 -2.1535290919055 -2.16538911100631 -2.14035150830398 -2.14050144725222 0.152316857894767 0.150563862321949 0.150356293061955 0.150688726938992 0.189474077356401 0.194011512558912 -3.28441827890314 -1.59400933932099 -3.35892603806436 -1.47705583912961
"result.10" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -1.6094379124341 5 356 200 1.99072222297957 6.02887704834089 -1.6894719352325 -2.04429440542539 -1.76662472737158 -1.7720342792171 -1.71252398383443 -1.70389812299403 0.122492921698345 0.119539563347999 0.120088348543233 0.120540183187054 0.150698998316087 0.141891279235925 -2.67880371521461 -1.14167471260607 -2.68008230033239 -1.16008944666229
