"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "shape" "scale" "X" "X" "" "" "" "" "" "" "" "" "" "" "2.5%" "97.5%" "2.5%" "97.5%"
"result.1" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -0.693147180559945 5 377 200 1.85900054673135 6.08857873762523 -1.27554030015288 -1.57217070521866 -1.33809253414535 -1.33770894000997 -1.2938730254156 -1.29473814722807 0.0638460483156252 0.0619768620295512 0.0680100616294582 0.0679718412850091 0.0920798243664324 0.0758872157103581 -1.91898573644812 -0.809252307802691 -1.8891551425849 -0.805376991911726
"result.2" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -0.693147180559945 5 337 200 1.85477956051727 6.61945024907872 -0.416446671965 -0.730945595753424 -0.457592754217752 -0.45324892779765 -0.443930144256421 -0.439157438952685 0.0428578844854967 0.0412293146345178 0.0482348682553679 0.0476139092536574 0.0405475503526484 0.0466231195598118 -0.798976547145176 -0.0400283541728807 -0.904583357607694 -0.0768407617808969
"result.3" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -0.693147180559945 5 388 200 2.00033152849925 6.23563373473819 -0.378401705200513 -0.735477865065511 -0.440384394027294 -0.439072725079738 -0.456367786770387 -0.457326257473153 0.0391275892994188 0.0375327411720272 0.0473445136877816 0.0468651358019074 0.0431542550173115 0.0436692380989502 -0.845147754066907 -0.0447590896456066 -0.849768279223165 -0.0313321898990971
"result.4" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -0.693147180559945 5 354 200 1.94731116537847 6.15765215413916 -0.501657284194066 -0.81792623875574 -0.518847573682731 -0.518515706427898 -0.478733449309206 -0.476363037697371 0.0428929400940396 0.0413071869889891 0.05240165698234 0.0512050384461356 0.0525028233045671 0.0538861442887192 -0.982107086642882 -0.121198970494741 -0.971537419250801 -0.0102591727042978
"result.5" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -0.693147180559945 5 356 200 1.86768102790532 6.14715790534057 -0.514831834403978 -0.858945254435903 -0.580365458813389 -0.582199928352863 -0.58010925688878 -0.5777373602197 0.0392133327090295 0.0378488218716963 0.0418832244443207 0.0417765664170144 0.0379645172953846 0.0444721451824484 -0.988919003429286 -0.21451094172057 -1.03582134192115 -0.213743500262603
"result.6" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -0.693147180559945 5 386 200 1.79926091242767 6.12430764748311 -0.681268269427389 -0.980228020574466 -0.749984234525496 -0.757189514305303 -0.741308437784364 -0.741180041124505 0.0409634452594563 0.0391711106114745 0.0464130692067135 0.0469424769478283 0.0475346034778461 0.0525236396637217 -1.16364938038271 -0.367821977729386 -1.24888452252531 -0.341451299849692
"result.7" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -0.693147180559945 5 345 200 1.76008189940632 6.62544834803262 -1.11140483215596 -1.39347078837035 -1.18276172780308 -1.18125848747949 -1.15766047594019 -1.15680701682087 0.0604345329833379 0.0591388542669192 0.0659038569446081 0.0657542033732514 0.0629260855048373 0.0703426559103465 -1.65299733554256 -0.696832084731272 -1.85967207738627 -0.733551395771004
"result.8" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -0.693147180559945 5 365 200 2.18886020340412 5.54544337289343 -0.588424342583741 -0.936462515077648 -0.618346526445626 -0.61668727010499 -0.609095964482622 -0.605602041550226 0.0418969428955138 0.0398240320285266 0.0504537383402056 0.0500697071847196 0.0459277442626692 0.0510066024138987 -1.04002353396016 -0.270278733185044 -1.08681664695016 -0.183522982869879
"result.9" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -0.693147180559945 5 386 200 2.22527254757622 5.52343418150607 -0.603226850883402 -0.990727597716037 -0.607201894581623 -0.606997765105039 -0.598874818291338 -0.595007201914962 0.044546810130281 0.0425045886492624 0.0559228804416505 0.0548784551212893 0.054225476499528 0.0571394361868895 -1.08317254210979 -0.146643067715097 -1.04916497632344 -0.154293600445253
"result.10" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -0.693147180559945 5 378 200 2.12780423031314 5.99253890523181 -0.537138471490403 -0.883007203146595 -0.560926632424175 -0.558997547697916 -0.555967232662113 -0.548893025123526 0.0418494906100267 0.0402931045686105 0.0446402131338823 0.0445145937302684 0.0550704848313892 0.0463526573295227 -1.11658701841976 -0.192465111585253 -0.957500183083265 -0.104110993495241
