"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "shape" "scale" "X" "X" "" "" "" "" "" "" "" "" "" "" "2.5%" "97.5%" "2.5%" "97.5%"
"result.1" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 0.693147180559945 5 448 200 1.71222483373553 6.92131049123494 0.65180255555198 0.295235380550511 0.688994258640787 0.687298086495476 0.720217210586234 0.724047508201446 0.0182312538933208 0.0173134673817806 0.0222709322463176 0.0219107623932965 0.0241805840563701 0.0250027376905267 0.452521725154081 1.03698625266641 0.43538700724985 1.00875330151947
"result.2" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 0.693147180559945 5 429 200 2.12110001248638 6.16576418075856 0.676966880369101 0.225553063764134 0.768969093094838 0.7547813969019 0.773566389135252 0.767368765299758 0.0223261315691336 0.0205590472248104 0.0313525720075922 0.0296330734505685 0.0362609221961262 0.0334438020134442 0.384149404838199 1.10938958979895 0.403524708523962 1.13388525162231
"result.3" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 0.693147180559945 5 414 200 1.87260332430354 6.95760720207924 0.521335008129268 0.126934935579124 0.576471227149636 0.565652206924199 0.537221770322223 0.526631751225136 0.0250060909323528 0.0236111295872184 0.0339472943175108 0.032841299217301 0.0325608763625567 0.030478165005403 0.170074642075547 0.857425625806046 0.208578463782562 0.877733759686515
"result.4" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 0.693147180559945 5 422 200 2.0640176857897 6.29517159170574 0.763331552984633 0.294621468203436 0.853705982859008 0.818284984765024 0.810386685502051 0.820473376817757 0.0222335248733432 0.0208372329731079 0.0312131527546329 0.0287677856735361 0.0324431550479952 0.0287303110236171 0.451050751562819 1.14697402505983 0.475881141647027 1.19907568523437
"result.5" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 0.693147180559945 5 444 200 1.9860170319526 6.65842992934751 0.871974572594386 0.432795081981973 0.941924661428828 0.932241667179453 0.918321241270407 0.930463129187521 0.0210512401569052 0.0200041039828978 0.0265326258339599 0.0255695198660706 0.0229556253802723 0.0219512025507872 0.655156366390132 1.23578060666709 0.666342579054391 1.23259828426902
"result.6" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 0.693147180559945 5 424 200 1.65739649867859 7.8403689607354 0.484495075807471 0.0949064133459901 0.524904067012793 0.520982793329467 0.540177885305285 0.548538919586234 0.0246057951252155 0.0233783570423183 0.0304548692763228 0.0299267358162779 0.0334599068604636 0.0279536582975408 0.171523361612384 0.846338786385611 0.227168597430328 0.888373824501002
"result.7" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 0.693147180559945 5 418 200 1.7208778811548 7.02081909192899 0.655915566367637 0.266989206107875 0.71926807291081 0.718545991329298 0.736667228143709 0.739883349584767 0.0196235365570056 0.0187336622931923 0.0217361143046953 0.0215025635311508 0.0198404334363612 0.024404889550619 0.45980972130685 0.996332784985052 0.466576776063417 1.07541856488687
"result.8" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 0.693147180559945 5 410 200 1.92773198948299 6.11933847866487 0.391295248442074 -0.0247786751575827 0.433771105892759 0.429647931138921 0.438832805476103 0.441319429092174 0.0237050260690211 0.022085281710929 0.0288441671665946 0.0283059297986489 0.0245789899916786 0.033938372071475 0.152431843158683 0.689641491706508 0.042360448851142 0.763872635688096
"result.9" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 0.693147180559945 5 462 200 2.07972243465032 6.6149807465916 0.642009134430453 0.244588755799517 0.73135346009214 0.713766212349469 0.699416980570038 0.712527913478154 0.0221278679751634 0.0207356866592476 0.0311817371509901 0.0297322596201988 0.0249415108182202 0.0303589086641806 0.43238437379373 1.01817379642034 0.408739115411319 1.04678462169147
"result.10" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 0.693147180559945 5 444 200 1.73278405317805 7.40324254443822 0.705949397829237 0.30388154092136 0.778674436205505 0.767754283797901 0.7514774930004 0.750277347178556 0.020012835814596 0.0189771002551123 0.0255463203935668 0.0248484766599391 0.0252995738446637 0.0253283673174237 0.462223596753384 1.07178896862695 0.473939076035835 1.07882662430992
"result.11" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 0.693147180559945 5 448 200 1.86636726435506 6.44568294137552 0.473918887489227 0.0576199959808586 0.499859802650641 0.498369399104902 0.507406700729318 0.509586685855945 0.0220324537602184 0.0204841287328019 0.0273033720104297 0.0263784678053807 0.0227959341402305 0.0285262940003116 0.231019506291819 0.834075528279756 0.154856014982915 0.83561708877323
"result.12" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 0.693147180559945 5 436 200 1.78014636050258 6.56476361655238 0.41631292160363 0.0137839868765211 0.465113284950108 0.465541278430405 0.503870844328837 0.50757696468337 0.0225795479205743 0.02119351848362 0.0275381288937039 0.0270768085552897 0.0287570590726647 0.0297633736646284 0.192271156931014 0.828972237065577 0.152385395638249 0.830848350750904
"result.13" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 0.693147180559945 5 427 200 2.01559296579403 6.54853753967542 0.479788127832601 0.0813997061677205 0.575559993580968 0.568929116911465 0.620123587611518 0.621468485916148 0.0234454353159196 0.0221715040318835 0.0316232363171284 0.0306002441560112 0.0330798193324689 0.0361396155008055 0.238045235655517 0.970153208870435 0.229895842661821 0.977088146290526
"result.14" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 0.693147180559945 5 447 200 2.27563898819285 5.75063223013154 0.581232857108879 0.137088918010245 0.681762703828619 0.66411079629401 0.638439209268854 0.638699593491623 0.0230709125315199 0.0214130590400974 0.0333702052096104 0.0316462222336134 0.0344757460210365 0.0317376556109957 0.288539675943465 0.996647518852491 0.326805227512487 1.01806217838964
"result.15" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 0.693147180559945 5 412 200 1.90299544111788 7.09859594841181 0.377830459492772 -0.00313324836073691 0.427220667008395 0.421431843684247 0.396792558791083 0.394599370019923 0.0266721512675335 0.0251269589981323 0.0326059266911599 0.0317829308946899 0.0308301044998655 0.0254504446489169 -0.00362112314924354 0.714393334156247 0.0666535641848661 0.663355893516928
"result.16" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 0.693147180559945 5 427 200 1.79266560166725 7.02775342212991 0.616775643364688 0.211130054872455 0.676272919762673 0.659610160728016 0.655283207311326 0.657286632875284 0.0212495586955755 0.0202982254631709 0.0264284904495381 0.0252940376508987 0.0294706879101564 0.0225009869346523 0.294727357553446 0.949511402819917 0.38327500817169 0.935852842520114
"result.17" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 0.693147180559945 5 431 200 1.95936252603206 6.3461574591625 0.626390360417128 0.244472163400044 0.663980333478234 0.663708600509345 0.649879648919505 0.649656809384556 0.019576964752313 0.0185052965776684 0.0206361168590885 0.0203083537355841 0.0222961463927573 0.0179249875195475 0.35850455697234 0.920984232298032 0.416176354245586 0.935137276244911
"result.18" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 0.693147180559945 5 422 200 1.97123917804782 6.24676412854586 0.822925637380815 0.331019456580731 0.921613078698388 0.896882357061495 0.898148325409155 0.918425469355882 0.0217594113776241 0.0202426393601223 0.0353040704432847 0.03308760759442 0.0361041220651776 0.0313901387603412 0.548789300597529 1.24236442827964 0.553777569350537 1.25871278395394
"result.19" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 0.693147180559945 5 416 200 2.05144048359274 6.30597577993336 0.913182216702646 0.475216707964381 1.01933658604048 0.991367891870795 1.02817406925627 1.02617087258264 0.0202395640306569 0.0190365892243665 0.0303917055801306 0.0282512836734221 0.028996133887755 0.0250267941327825 0.699422697617 1.36041981271825 0.692834309679895 1.3230281231341
