"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "shape" "scale" "X" "X" "" "" "" "" "" "" "" "" "" "" "2.5%" "97.5%" "2.5%" "97.5%"
"result.1" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 5 462 200 1.79732700012771 7.59770174686946 1.65034259575462 1.01409655402481 1.83441923867054 1.81415851381711 1.86195921609894 1.88851973293829 0.0165475542850148 0.0158595050119817 0.0226339423722441 0.0219340587302926 0.0203013692401449 0.0263577717104091 1.56006485361594 2.14899047071502 1.61021906413517 2.23145545361974
"result.2" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 5 459 200 2.03839326941179 7.40110088436836 1.47799218392558 0.964363370537812 1.73599845192533 1.68048033381001 1.71015632313957 1.74925672071114 0.0184605735840295 0.0174937134878705 0.0304772774495017 0.0272946075124792 0.0341791506543949 0.033916849792946 1.38375021374714 2.08945729184852 1.41241959427681 2.07751190563253
"result.3" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 5 464 200 1.6615841600549 8.33584949574446 1.5234527953589 0.980695455017347 1.77612988041772 1.71792822704681 1.77815974396245 1.80114403053915 0.0177259049119838 0.0171453414902398 0.0286065870206423 0.0265878394318647 0.0261159700392921 0.0324883551783588 1.52325459286941 2.13260796443368 1.43302639375601 2.17511842900444
"result.4" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 5 483 200 1.64958579840007 8.02453775609125 1.43916645728677 0.931262514066575 1.66493185531642 1.61770783730272 1.64606368185303 1.6387388887226 0.0160369066907441 0.0152463183794277 0.0223553706044201 0.0205559279082869 0.0248227267166675 0.0252094418736809 1.37659113902649 1.98018479295673 1.38260347022292 2.00670515555492
"result.5" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 5 459 200 1.94661643827008 7.53059626827932 1.53173232721075 0.956460746747358 1.8074913521697 1.72381775371409 1.73546352837553 1.73826745670028 0.0178909154123734 0.0173710480855841 0.0339605766907301 0.0297952367589728 0.0356011746203512 0.0326332431562526 1.36456794884525 2.13325639598722 1.43115891590062 2.13484640911619
"result.6" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 5 427 200 1.51676194111549 9.90278210418805 1.50592821710525 1.04514539271615 1.68118870479243 1.63006381475561 1.64873911041461 1.6329716780533 0.0176422356581424 0.0172754033275241 0.0293750850140286 0.0269300765005642 0.0272250708641346 0.037308695942221 1.37010867988277 1.9566029332754 1.30205704302881 2.0790575755004
"result.7" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 5 444 200 1.95234886799221 8.22380344739195 1.41293953987543 0.899107961054915 1.50965906976136 1.51291628389648 1.57375781589544 1.57772563557342 0.0203442610377649 0.0197512873259169 0.0223586376599686 0.0211987577227393 0.0206147466398731 0.0227039226391185 1.30850241729667 1.86293966774806 1.30659275915489 1.87956608886321
"result.8" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 5 480 200 1.87950522753325 7.74659449032602 1.53807739353375 0.939630739251652 1.78249291982909 1.72105539075686 1.75115177569347 1.76250006376801 0.0170407475833902 0.0165522149548905 0.0248639242924962 0.0217345472092305 0.0231838425768909 0.0255150459603335 1.48163419638561 2.06692913244031 1.47345768798533 2.06270557027155
"result.9" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 5 478 200 1.87696054691143 7.28452642677107 1.21801318844852 0.742776999645943 1.36821788122604 1.33755233211451 1.37389152321753 1.3859951426898 0.017448087746501 0.016562041622981 0.0246841767160039 0.0229976142068167 0.0298273877517163 0.0263486826360513 1.03016861598395 1.71708739274091 1.09669327167155 1.68995302101078
"result.10" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 1.6094379124341 5 439 200 2.1273252261457 7.37466523035484 1.5150367857561 0.853381832839984 1.74584132376001 1.70299910927585 1.78229118085393 1.78515481671306 0.0236124046900642 0.021808267043468 0.0471688553369325 0.0450413998222878 0.0436737143304975 0.0609710085695084 1.36988045748929 2.19571428793068 1.42298169587471 2.38432799586553
