"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "shape" "scale" "X" "X" "" "" "" "" "" "" "" "" "" "" "2.5%" "97.5%" "2.5%" "97.5%"
"result.1" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -0.693147180559945 2 376 200 2.67564190203725 4.85813574655118 -0.62715565252081 -1.50263443456144 -0.916047898340683 -0.922673120255895 -0.884244248145696 -0.871287809805751 0.0700143738508008 0.0658364013282524 0.0930868363462073 0.0947609303066622 0.103169827113599 0.118511298976211 -1.55507942603802 -0.378199632455741 -1.64742804037986 -0.280598888816385
"result.2" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -0.693147180559945 2 386 200 1.9475183084346 6.05693903037596 -0.670380174016485 -1.33060617083923 -0.761024969275932 -0.760899741000693 -0.745995057357779 -0.767666833898819 0.0746491484854694 0.0723466125811233 0.103153832780941 0.103652899136416 0.106623428061891 0.111395154253877 -1.41353314928362 -0.212089753844941 -1.38268634128018 -0.234324863097826
"result.3" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -0.693147180559945 2 373 200 2.3168129375213 4.96019373801028 -0.462335997920964 -1.21513957950444 -0.606859409147504 -0.598668296389479 -0.581795328839623 -0.577770952928272 0.0552201030871053 0.0519016699539009 0.0799352324942431 0.0772737590394065 0.0757301154843526 0.0808991795199808 -1.23985373307088 -0.164614593229893 -1.26078504235793 -0.0870883244410043
"result.4" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -0.693147180559945 2 349 200 2.02409001189504 5.32681031328076 -0.506393449855953 -1.32062706943967 -0.515081277692135 -0.515644424319027 -0.528499566623549 -0.524981346926096 0.0716982198824054 0.0691732669854373 0.0895025445181973 0.0902116175438136 0.10488002544063 0.0936953762427867 -1.15434834945708 0.0730734104364991 -1.30181873603802 0.0130007813920719
"result.5" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -0.693147180559945 2 340 200 2.1323988356771 5.37444310180565 -0.646111373393657 -1.45997236573905 -0.782309518120508 -0.783039905219805 -0.78176518936597 -0.794560780884029 0.0758111412424982 0.0733982337635818 0.0905089809630954 0.0905667959528128 0.0826337056919367 0.0993594755026344 -1.36409013653967 -0.246319937690846 -1.52437613658539 -0.231701473525991
"result.6" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -0.693147180559945 2 336 200 2.26055402155829 5.52230288816745 -1.11851378597473 -1.79773037041193 -1.15828634833469 -1.1430576783244 -1.15884875088874 -1.15469225187361 0.122194447336181 0.118399216950697 0.167007478254212 0.162021627368455 0.232216693348942 0.180879761947787 -2.27375243335652 -0.489383451783169 -2.03753699593165 -0.42038461723067
"result.7" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -0.693147180559945 2 373 200 1.96837912018111 5.53750744490691 -0.473199933742681 -1.19949879578564 -0.597462810400446 -0.600004064330945 -0.579927202322923 -0.562237197266309 0.0596874013002069 0.056507785564075 0.0772020809885573 0.075454202390165 0.0859085438709044 0.0900062532681888 -1.26176432026177 -0.119137857700324 -1.18314655125844 -0.0223705279552085
"result.8" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -0.693147180559945 2 363 200 2.48249516148542 5.15309637158262 -0.0298104207940374 -0.925000302710091 -0.126656628705472 -0.132358352931282 -0.195636797191915 -0.193632727073471 0.0536564580417046 0.0502835011500649 0.0867295738186971 0.0838038894470691 0.0834818818388831 0.0804401702256875 -0.691735982130332 0.376996563554277 -0.725960307761511 0.371219782148236
"result.9" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -0.693147180559945 2 384 200 2.40908152012976 5.33926543559298 -1.05890169961214 -1.64086723286567 -1.2493921725435 -1.2476317376481 -1.24899886876826 -1.23647835547949 0.0871866985183534 0.0832634741694096 0.10455668787587 0.103390493098941 0.105034525416952 0.119842804187085 -1.95508831796446 -0.748436154942477 -1.94114905644705 -0.713111429755022
"result.10" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -0.693147180559945 2 371 200 2.17630991139118 5.67718564242367 -0.810880223237123 -1.52379743455694 -0.987008072734935 -0.972337067935213 -0.99641227447291 -0.970798519235257 0.0856815028832423 0.0827791324451166 0.0980930505869187 0.0974248952770322 0.129952460777322 0.128674217568309 -1.77772268357918 -0.380521573880383 -1.75053441645963 -0.216595184142206
"result.11" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -0.693147180559945 2 385 200 2.37587465105683 5.34282695048594 -0.803232359280354 -1.57267366559679 -0.95916350988703 -0.966384423477083 -0.920636844503592 -0.931108011941498 0.0816818751810659 0.0781575820335019 0.105945376635249 0.105536861553058 0.116093933683791 0.123179440715027 -1.61715592609224 -0.232183860068174 -1.67673422384833 -0.356303847996605
"result.12" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -0.693147180559945 2 351 200 2.10480255812627 5.22463673979266 -1.68356160976275 -2.40023351506789 -2.00383934252783 -2.00572973270128 -1.98125935632883 -1.98130987944393 0.153384712981079 0.149906915542502 0.167074153798739 0.166045202080087 0.174317100945284 0.186193189930155 -2.93676026032652 -1.38783626970287 -3.07663173445222 -1.30649954582129
"result.13" 1000 0.2 0.1 0.25 0.025 0.3 0.1 0.025 0 2 3 4 -0.693147180559945 2 347 200 2.01781840155642 5.36302894619433 -0.714306613392863 -1.35299320648377 -0.767746158539403 -0.754545844914653 -0.664892909783305 -0.679250716231908 0.0675812979766689 0.0649801620372643 0.0909567540223764 0.0872522796625894 0.0791216444239378 0.112889152618042 -1.30917581755276 -0.248294581534051 -1.39514551592531 -0.15664941431633
