"" "" "" "" "" "" "" "" "" "" "shape" "scale" "X" "X" "" "" "" "" "" "" "" "" "" "" "2.5%" "97.5%" "2.5%" "97.5%"
"result.1" 1000 0.2 0.1 0.25 1.5 7.5 0 2 382 200 1.38334486425533 7.52667249375932 -0.167858108147223 -0.72584312182315 -0.19387267625449 -0.190434794935031 -0.195309487337876 -0.186777312458648 0.0403172827299093 0.038497065236107 0.0525166542773625 0.0522508132290252 0.0543894533731909 0.0393203053448745 -0.719180674171497 0.165990494234446 -0.573220929841736 0.158606465960893
"result.2" 1000 0.2 0.1 0.25 1.5 7.5 0 2 398 200 1.57977137504964 7.44226067259655 0.0672814322513163 -0.541763823173802 0.175722631977436 0.171882063839467 0.181453514764096 0.184428071633048 0.0407833483227835 0.0395284356275638 0.0532326473231969 0.0529869615133165 0.0582614007946478 0.059764875401094 -0.312001140669237 0.658174972926036 -0.281594024472739 0.57069265567352
"result.3" 1000 0.2 0.1 0.25 1.5 7.5 0 2 407 200 1.89521826191029 6.61512944960279 0.0275922218180094 -0.639073167480801 0.076726332373924 0.0758035947719561 0.0812285339649462 0.0817007504543803 0.0390587453251545 0.037157391132327 0.0513101400547449 0.0506478815758783 0.049081034752204 0.054667237610948 -0.402442319464433 0.496499055686036 -0.423362954753457 0.468217928633193
"result.4" 1000 0.2 0.1 0.25 1.5 7.5 0 2 388 200 1.35230163644014 8.46017075833544 -0.327014777185125 -0.902336958602012 -0.375436492378177 -0.374450146942701 -0.387337817258805 -0.374461189855681 0.0500448349881289 0.048238927261436 0.0630218034608057 0.0632288480608089 0.0779858699885807 0.0723982095085953 -1.03425942871125 0.0757796201235976 -0.928941446497669 0.171108330839449
"result.5" 1000 0.2 0.1 0.25 1.5 7.5 0 2 388 200 1.42397131475919 7.65079555538352 -0.152061430022944 -0.712369250820515 -0.122017872093359 -0.118487702758734 -0.121429705094921 -0.118033732690925 0.0406030074667409 0.0395396578312893 0.0486254221482922 0.0488236663652515 0.0671076444489288 0.0537103327159644 -0.686434253706285 0.285078707405943 -0.592467662386242 0.280936366160949
"result.6" 1000 0.2 0.1 0.25 1.5 7.5 0 2 409 200 1.42602280747845 7.53498400861438 0.0913068625033475 -0.506475836821374 0.0710271732235398 0.0712286877152625 0.0231196163193011 0.0295015532832332 0.0320221537792961 0.0310342963537643 0.0354041271723142 0.0353218375789797 0.0379115360831397 0.0389824925018012 -0.367324120372813 0.366017204605788 -0.412126833167815 0.405562008205483
"result.7" 1000 0.2 0.1 0.25 1.5 7.5 0 2 382 200 1.20404528881715 10.0398029009102 0.129969577210313 -0.407105008114333 0.169727750563149 0.166029445283343 0.134680422972329 0.137375413263529 0.0347323096283643 0.0333129433161806 0.0534280554215758 0.0520969612576721 0.053314448933927 0.0514951958214942 -0.332146325591036 0.592804859102312 -0.292575445511205 0.594888556023036
"result.8" 1000 0.2 0.1 0.25 1.5 7.5 0 2 372 200 1.63415184793796 6.60180664267469 -0.195325859952067 -0.939901894915566 -0.227677185647137 -0.22555947586904 -0.253022368344752 -0.253161524073241 0.0464990987104514 0.0450609249570484 0.0578660463643844 0.058496475209072 0.0525511149784537 0.0651168307875418 -0.713929065865636 0.123252296344298 -0.700347803553205 0.23796013420993
"result.9" 1000 0.2 0.1 0.25 1.5 7.5 0 2 395 200 1.49558363550668 8.27694811065055 -0.0854881878712457 -0.673743375372659 -0.071742471938285 -0.0675231133571312 -0.0470785351678673 -0.0503783774103368 0.042994543910829 0.0417600465905028 0.0467434888592754 0.0466553995055291 0.0552038235553217 0.0488082026847042 -0.507527319296082 0.423339938564555 -0.517877510210051 0.298431412313437
"result.10" 1000 0.2 0.1 0.25 1.5 7.5 0 2 385 200 1.79525359737406 7.1860198255636 0.420192291046477 -0.23761636409589 0.493846113806915 0.501485279877793 0.49147898717618 0.479387972392074 0.0390858625066425 0.0374411905237338 0.053945921927271 0.0532991593603083 0.0530475284830436 0.0529464949327345 0.0908553295087598 1.01477741837928 0.0769607381467294 1.01688046844778
