"" "" "" "" "" "" "" "" "" "" "shape" "scale" "X" "X" "" "" "" "" "" "" "" "" "" "" "2.5%" "97.5%" "2.5%" "97.5%"
"result.1" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 2 365 200 1.63671425237343 7.46791049419624 -0.165868345056897 -0.836767688929878 -0.162683464821502 -0.164415185595898 -0.192624911678487 -0.194667216444127 0.0597735737314309 0.0578054577312269 0.078098017348876 0.0783362333055811 0.0787842530153127 0.0882134469869765 -0.788000359213906 0.223184033797664 -0.838378545059133 0.311048399784886
"result.2" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 2 365 200 1.38669194375889 7.03428950110774 -0.256128776407868 -0.867784115384764 -0.279114121313009 -0.282035950020167 -0.266657698203733 -0.253241484444291 0.042353056796415 0.0408465678792967 0.0544328834852503 0.0550152938617147 0.0548218625997782 0.0662011227122558 -0.799751312320948 0.116771027555739 -0.816754714014461 0.177157756977599
"result.3" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 2 349 200 1.4700462288465 7.70690807903439 -0.416963367590585 -0.998262924951831 -0.42836154758218 -0.430250697966986 -0.442964420230646 -0.453993641657595 0.0596073335927056 0.058116510805803 0.0746326883168003 0.0738570397407877 0.0906174698799669 0.0786112042836337 -1.1235518985752 0.00638258549457255 -1.08151740827297 0.0349130159146206
"result.4" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 2 376 200 1.8746907344973 6.2012728444571 -0.476175388286669 -1.14664221721477 -0.528966726635019 -0.537833613233557 -0.499870302988193 -0.501768748471219 0.0632557389499347 0.0610263441346118 0.0819333781631848 0.0801272958360413 0.0878244895189268 0.0750242157610724 -1.1614802982916 0.00950894602894851 -1.11964472182379 -0.0664570710395519
"result.5" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 2 362 200 1.41988618286521 7.32954488490834 -0.342115736610814 -0.987349373799711 -0.395252757980042 -0.396400942811025 -0.386461397432007 -0.351509530185491 0.0513380966566552 0.0492963829232021 0.0614372709806918 0.0612573254578683 0.0768293173423428 0.0707995562188841 -0.990011167130045 0.0674350571959923 -0.875216328883096 0.0937089187379285
"result.6" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 2 372 200 1.4340827106367 7.97860553396947 -0.527475433129205 -1.16227741849941 -0.592165123537835 -0.591091767049224 -0.613691416200488 -0.59399697093263 0.0694807674327096 0.0674366338211824 0.0815704888035702 0.0820793287928454 0.0967859873560428 0.0968778695210815 -1.19484500577859 -0.047182339446213 -1.2768278803959 -0.0663054843209401
"result.7" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 2 388 200 1.37010834821822 7.67199143364641 -0.929386416305417 -1.46724324782577 -1.08329161282894 -1.09265453215863 -1.10186651502483 -1.10168056276516 0.0588212911552004 0.0574414094610983 0.0653296289192808 0.0654539933679162 0.0874133310849852 0.0756859857763916 -1.74118428231785 -0.560628373199666 -1.71084004107648 -0.66989860744563
"result.8" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 2 379 200 1.66315475077544 6.32116762946448 -0.546023557058872 -1.21968456753937 -0.662377872975418 -0.672037476882808 -0.74043635651817 -0.706601978277263 0.0552940211466546 0.0534476197601403 0.0586949107317578 0.0591252537290158 0.0612312328129146 0.0657342779848264 -1.27688134374585 -0.310689326141819 -1.25175067805983 -0.294365661005899
"result.9" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 2 364 200 1.81547305108881 6.9479435811309 0.0506083092689142 -0.696900363369591 0.0437920485052689 0.0538368807157221 0.0417747792617396 0.0570509819809271 0.0586371660381449 0.055996116548329 0.0746544807453123 0.0762858584829708 0.0688757434271173 0.0675137383920943 -0.459772024098242 0.459230551408385 -0.433323957835466 0.556473192651456
"result.10" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 2 353 200 1.37864292996186 7.1428889306487 -0.222943008861439 -0.894338589400548 -0.141999925551841 -0.145949659011039 -0.124671133387096 -0.126903204905089 0.0483098778893406 0.0470288803954988 0.0718332016283625 0.0719731936142521 0.0848597635111045 0.0686409861812127 -0.768143401013091 0.38470987678243 -0.586991629934348 0.386493354814689
"result.11" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 2 372 200 1.61110620991764 6.45768596592758 -0.669446543212949 -1.2795730026676 -0.676971566509402 -0.673602560942039 -0.800163994236457 -0.777513638200007 0.0627694643813362 0.0608972561977654 0.0774813577263132 0.0778915721926715 0.117567498274725 0.0745851552412001 -1.44910336555518 -0.230284330699474 -1.28433248306519 -0.243671037012415
"result.12" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 2 364 200 1.66138353523344 6.21553040525057 -0.643556558936361 -1.29267583133269 -0.758535001421718 -0.770497247256592 -0.756014706990333 -0.759955965929903 0.0604369418857227 0.0584676555226172 0.0692082460971173 0.0704550990371314 0.0741745514952893 0.0784381710947893 -1.31263667809284 -0.338133388272133 -1.37425859345571 -0.188836985066078
"result.13" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 2 365 200 1.28086124661284 7.48465753250922 -0.579289497831238 -1.10899565820514 -0.692173363468543 -0.694857752633007 -0.680695145176676 -0.689032316284221 0.0507987269350145 0.0489591360325494 0.0642314879536798 0.0639818828723111 0.0650708122814507 0.0601549240517046 -1.17764902793636 -0.200461885519035 -1.2303891782366 -0.260248448771846
"result.14" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 2 372 200 1.71110585852363 6.54547471319963 -0.53570319507847 -1.19587163772391 -0.591008466872664 -0.593081099251476 -0.617022686236768 -0.619005211895772 0.057190433685893 0.0554276310142299 0.0739782937779763 0.0733244131960618 0.0767189649891289 0.0762570519378958 -1.18848012626389 -0.105366415106334 -1.11021975207592 -0.110572415695895
"result.15" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 2 391 200 1.70094398298151 6.369997493074 -0.314472912258081 -1.05403614888331 -0.425020926251176 -0.425167147926096 -0.39587315856574 -0.396851895238338 0.052355509830913 0.0507208412004306 0.061220759828307 0.0617732120658514 0.0744017996278082 0.0741187249179579 -0.923830596232597 0.0942401730623481 -0.906943711463985 0.126209695073453
