"" "" "" "" "" "" "" "" "" "" "shape" "scale" "X" "X" "" "" "" "" "" "" "" "" "" "" "2.5%" "97.5%" "2.5%" "97.5%"
"result.1" 1000 0.2 0.1 0.25 1.5 7.5 0 10 385 200 1.6807409970762 6.57349212679992 0.182601953417738 -0.0108151207716527 0.203529921724191 0.203211071746122 0.192424523046807 0.197322158914848 0.0213927639529825 0.020932962891293 0.0228246482831258 0.0227313620141328 0.0221849428219323 0.0224236965526296 -0.0636574699743129 0.481636043167934 -0.0698985906524622 0.46785104038597
"result.2" 1000 0.2 0.1 0.25 1.5 7.5 0 10 397 200 1.54057988156361 7.03099904561905 0.103637290162873 -0.0929581650790591 0.103819473962448 0.103642584433285 0.106189305219364 0.108850154307316 0.0230578062144305 0.0225295905327726 0.0251231310019969 0.0250395310880952 0.0227872183154402 0.0283889648423978 -0.174337934000338 0.423510391700651 -0.193855960331324 0.409690935522056
"result.3" 1000 0.2 0.1 0.25 1.5 7.5 0 10 393 200 1.54183077310286 8.08398688042541 0.247157454265146 0.0631127211514838 0.267412643779746 0.266083368820177 0.270786679480999 0.273653319340095 0.0241057845324052 0.0237035436928299 0.0260406412316313 0.0259150231906559 0.0283486950261562 0.0272113484770295 -0.0610708121431401 0.600654620179196 -0.0532196053430199 0.578073545687671
"result.4" 1000 0.2 0.1 0.25 1.5 7.5 0 10 385 200 1.61469863421562 6.57248525093777 -0.0630193269727923 -0.233730296202563 -0.0650270061851426 -0.0650089547250232 -0.0688247331846226 -0.0693505438577457 0.0224764940983942 0.0219816161839015 0.0254683593117656 0.0254652195096117 0.0257891556891853 0.0273946970277278 -0.406207081114733 0.214709952576248 -0.431822993612611 0.249641866152439
"result.5" 1000 0.2 0.1 0.25 1.5 7.5 0 10 374 200 1.2978258736056 8.54749028562198 0.137490502451484 -0.0297329067195274 0.141447199613167 0.141542203148569 0.140797300171579 0.143670393144236 0.0218281741979704 0.0213906103975059 0.0235585412217823 0.0234813190233171 0.030123479494054 0.0220682470402298 -0.209786298706108 0.439648121039469 -0.104044760874808 0.479740094112443
"result.6" 1000 0.2 0.1 0.25 1.5 7.5 0 10 399 200 1.75332842951589 7.16332130970511 -0.0571331630496474 -0.253461432769649 -0.0792421763359131 -0.0783167282136764 -0.080211382585998 -0.0812355448074272 0.0284831670489374 0.0279823743437618 0.0310534757926967 0.0309624689371266 0.0355412231919983 0.0379753858562672 -0.484897783934205 0.218821199368712 -0.448478137368539 0.308634441536953
"result.7" 1000 0.2 0.1 0.25 1.5 7.5 0 10 379 200 1.52994599829009 7.11754496284543 0.00196330466503818 -0.189457765525036 -0.000264967517004041 -0.000361386047349221 0.00117670246501518 -0.00193923544518105 0.026494141602786 0.0260240471410814 0.0289460304462133 0.0289547415940094 0.0308164100563036 0.0333402762207041 -0.395237612397223 0.292441228220035 -0.372015935812487 0.308843791044597
"result.8" 1000 0.2 0.1 0.25 1.5 7.5 0 10 399 200 1.61725112666434 6.98014098243071 0.133731065594537 -0.0722318094377026 0.153749141818992 0.155448295780036 0.150751748777887 0.147624493245837 0.0232992013144562 0.0228512541895059 0.0239691557799976 0.0241360958864467 0.0260012313300987 0.0255787083258047 -0.193072379403988 0.406491181229577 -0.159403066933311 0.466483975257832
"result.9" 1000 0.2 0.1 0.25 1.5 7.5 0 10 401 200 1.44451836045292 7.95724869562623 -0.0976741211222935 -0.27199965333366 -0.106916219645416 -0.10666557825227 -0.0999864692988036 -0.0963192452530679 0.0249054260456553 0.0244394201323983 0.0274078984909366 0.0273223848978006 0.0268699416525262 0.0310903539330992 -0.430181814690423 0.199714207647853 -0.465883228032355 0.188207784676543
"result.10" 1000 0.2 0.1 0.25 1.5 7.5 0 10 412 200 1.33043991562117 8.78961994623655 0.0513388244278462 -0.126128654823043 0.0596367364401878 0.0603341156269394 0.0655320855665395 0.0673786142867636 0.0239737763425364 0.0235430192703743 0.0275273548960616 0.0275192093499659 0.0251933527314913 0.0311372834595299 -0.240998834613723 0.359577365409139 -0.308111921389487 0.384107519330578
"result.11" 1000 0.2 0.1 0.25 1.5 7.5 0 10 379 200 1.50259738354606 7.50612233554238 0.0910991181594157 -0.0825384262875021 0.0839753373552401 0.0840377660823268 0.0893160996870281 0.087894679357956 0.0245464023289188 0.024069361471939 0.0252897938855684 0.0252219744578795 0.0285777464129654 0.0230061938923302 -0.239841239127378 0.375690659076965 -0.191051874976685 0.360893517173793
"result.12" 1000 0.2 0.1 0.25 1.5 7.5 0 10 377 200 1.38348775857684 7.58121504466713 -0.0128148046185085 -0.189528989402724 -0.0103537279822614 -0.0104118908756872 -0.0275739340593297 -0.0243624329975432 0.0242250151325378 0.0236671865451148 0.0277948590937574 0.02770388695129 0.0258552244789839 0.0291729765718927 -0.34521489706471 0.258008290411283 -0.343315126194634 0.265750511745658
"result.13" 1000 0.2 0.1 0.25 1.5 7.5 0 10 396 200 1.45388465440389 7.79861688824202 -0.495155609132304 -0.656049204247828 -0.512804486340558 -0.514730131450761 -0.513899381485665 -0.511714508006598 0.0307599663585629 0.0303811453088313 0.0315066513888947 0.0316661570813361 0.0291615366084309 0.0262998365159226 -0.832475807485872 -0.19182322561309 -0.840123156883043 -0.207003433833382
"result.14" 1000 0.2 0.1 0.25 1.5 7.5 0 10 365 200 1.43550858856787 7.44833473614479 0.087954011419591 -0.105426784175929 0.102056754618271 0.102464359254734 0.109150956202912 0.107662898507313 0.0249948659410366 0.0244986144752523 0.0279557250006571 0.027941920850796 0.026488154260874 0.030050134246169 -0.232197751388829 0.408800635540112 -0.192452980755481 0.389929586425964
"result.15" 1000 0.2 0.1 0.25 1.5 7.5 0 10 364 200 1.45506508178022 7.65490698772047 -0.049228106589177 -0.232309862223959 -0.0584147676154827 -0.0580000829829039 -0.0437865274706184 -0.0420579438373347 0.0277517150455387 0.0273617183876235 0.0290149908278602 0.0289408536286637 0.0397928500144659 0.0323676919273179 -0.480130622439749 0.283675433951196 -0.382975254460084 0.279574806356788
"result.16" 1000 0.2 0.1 0.25 1.5 7.5 0 10 398 200 1.68025083993889 6.22545320700068 0.128891230894004 -0.0747023397159392 0.134369875349026 0.134251002999899 0.141171312119062 0.14111302671918 0.0213108620353397 0.0208058917085994 0.0245248987968476 0.0245982198914519 0.024037943060116 0.0244175000033447 -0.14842074755538 0.429208018450464 -0.158876302678972 0.445543294767024
"result.17" 1000 0.2 0.1 0.25 1.5 7.5 0 10 370 200 1.88312908940695 6.2858856822974 0.0757582094526037 -0.129454978366148 0.0957862926762976 0.0942246122023581 0.088211712395253 0.0905293529935564 0.0262487480429187 0.0256398664475916 0.0311399769226675 0.0309096390520947 0.0359290174263451 0.0272655034107988 -0.288623764582976 0.382576013376976 -0.269375501962675 0.386249148750495
"result.18" 1000 0.2 0.1 0.25 1.5 7.5 0 10 404 200 1.29168265690581 9.30361881706834 0.0721324712867458 -0.0723007012560085 0.084418266819545 0.0834214869444488 0.0839165643982705 0.0873165391648424 0.022410124631857 0.0219727519048517 0.0251110436170349 0.0250305863899412 0.0255616633641821 0.0239323545738449 -0.273850829719109 0.3197320769068 -0.21647759472814 0.398024039815571
"result.19" 1000 0.2 0.1 0.25 1.5 7.5 0 10 380 200 1.65325417016519 7.11910437206204 0.236701910252644 0.0301603710794468 0.249727631888465 0.249453338844127 0.263314922500718 0.2646671063093 0.0251647079550109 0.0246095155196012 0.0276678762456262 0.027559202460642 0.0287532626825377 0.024864617712721 -0.0648670809200855 0.583455823458155 -0.000333849451269308 0.61935769435324
"result.20" 1000 0.2 0.1 0.25 1.5 7.5 0 10 373 200 1.42076059407911 7.72290436026124 -0.228743917376636 -0.404848087027251 -0.245196772639402 -0.245004869684202 -0.233351590362082 -0.2311771480614 0.0289611292183671 0.0283862291657171 0.0303233878330213 0.0303246248206741 0.0318987677696012 0.0335317706160061 -0.570651519506899 0.134645562466223 -0.659821403478912 0.141224949940236
"result.21" 1000 0.2 0.1 0.25 1.5 7.5 0 10 401 200 1.49230658416666 8.15235349006218 0.0219686469485601 -0.155966912855161 0.0234611625204418 0.0235067444945399 0.0212253455181886 0.024124812714757 0.0255961230259776 0.0251065175375657 0.0269145649623953 0.0267961426731685 0.0347714526044369 0.0246906132489649 -0.343323110848407 0.368482260114944 -0.245078887896094 0.309099965821852
"result.22" 1000 0.2 0.1 0.25 1.5 7.5 0 10 380 200 1.60478313060745 6.98002929053317 0.000315169032616899 -0.180566341860918 0.0013123734527325 0.000717414955303899 -0.00866055313670829 -0.00807882261999669 0.0251600737024047 0.0245516422772031 0.027841571256431 0.0277196449253209 0.0232694031901317 0.0302375507953413 -0.32102764124275 0.259313716739566 -0.343625816958683 0.348762073021151
"result.23" 1000 0.2 0.1 0.25 1.5 7.5 0 10 376 200 1.41715304491419 7.86980497611352 0.233788768409087 0.0594576888941428 0.252696436685103 0.252284638273288 0.244766744050241 0.244111467884393 0.0218762618068131 0.0215373606743774 0.0224215790549252 0.0224028176549362 0.0250975520939384 0.0229762709646251 -0.0273434005928367 0.570420728739301 -0.0549531048530115 0.517824130701155
"result.24" 1000 0.2 0.1 0.25 1.5 7.5 0 10 389 200 1.45136378155042 7.02911843760883 0.0834928598173814 -0.117520678279883 0.0680741248299628 0.0683507801782816 0.0751825241630986 0.0755635158133185 0.0211798271908308 0.0208530813448702 0.0240315920784039 0.0239954582340963 0.020327635057893 0.0284787979566607 -0.170178140666223 0.355008725620937 -0.254572799413943 0.388591714225717
"result.25" 1000 0.2 0.1 0.25 1.5 7.5 0 10 391 200 1.49026013679918 7.45018078221941 -0.22662701124789 -0.411098867931715 -0.230910579091878 -0.231445405619941 -0.220337163364928 -0.215243876901815 0.0251978915645154 0.0248190640165501 0.0245810042280893 0.0246648261594481 0.0263148253558199 0.0234800334807253 -0.50566144057811 0.0724792016826308 -0.494926333357699 0.0601729704385176
"result.26" 1000 0.2 0.1 0.25 1.5 7.5 0 10 376 200 1.42950566004336 8.15411873314705 -0.0212339686207336 -0.206313887090625 -0.00785506279351194 -0.00715422961040705 -0.0020615352408335 -0.00262943977287883 0.0260178495704956 0.025679040675069 0.0275135609561086 0.0277352326428616 0.0314662903820877 0.027099229559808 -0.340852017649477 0.315202283948073 -0.349170870440844 0.316755984286359
"result.27" 1000 0.2 0.1 0.25 1.5 7.5 0 10 427 200 1.53403403174342 7.16791361618692 0.122367756086328 -0.065842380039994 0.113647457762578 0.112865074388815 0.112584466616809 0.114973882405981 0.0197994112725928 0.0195220523647445 0.0196094311913086 0.0196905996869293 0.0192864869230206 0.0222161721249819 -0.181507354592317 0.375618777956324 -0.190923311311471 0.370224682153332
"result.28" 1000 0.2 0.1 0.25 1.5 7.5 0 10 404 200 1.56183991147458 7.16336457383568 0.144626006154677 -0.0507118184143755 0.150897859773068 0.151505271541245 0.15709490335931 0.157610588417352 0.0211125980084094 0.0206240721921438 0.0238871992012256 0.0239102295740166 0.0223522294598093 0.0258792997348507 -0.169528724604603 0.415849449109863 -0.130124683244561 0.494709951397373
"result.29" 1000 0.2 0.1 0.25 1.5 7.5 0 10 385 200 1.34230176510906 8.7582119428311 -0.395735774175082 -0.553915276097114 -0.406033601424041 -0.406599977299764 -0.402383113299402 -0.402514164859074 0.0321347446733707 0.0317727755536731 0.034234552532143 0.0343077945482107 0.03575876816641 0.0424631330096303 -0.78176590526815 -0.0660414618237253 -0.831287950857275 -0.0160447599336553
"result.30" 1000 0.2 0.1 0.25 1.5 7.5 0 10 399 200 1.49835680705956 7.10512351755689 -0.153323034805756 -0.320158281875109 -0.160981814220351 -0.160613671661307 -0.15717021113638 -0.1526433938091 0.0220224265217102 0.02156742256795 0.0226623357531256 0.0226020444450902 0.0218448616878218 0.0239835152966112 -0.464992144681164 0.176110783512758 -0.45986005405199 0.112598965347607
"result.31" 1000 0.2 0.1 0.25 1.5 7.5 0 10 391 200 1.56348956523598 7.60804158896374 0.349327651359079 0.144683549774468 0.352565162908981 0.352507644589307 0.357571407212501 0.35288313921442 0.0237804602458859 0.0232970995366877 0.0258477960581983 0.0256642432375531 0.0260101859374289 0.0269776596632272 0.0478529912616982 0.639823940954677 0.0423320599598092 0.624486329773683
"result.32" 1000 0.2 0.1 0.25 1.5 7.5 0 10 387 200 1.64609567050976 7.17378384076161 0.158168785034527 -0.0479683713063595 0.153018251233077 0.153044896573167 0.165267415753029 0.167591253427086 0.0263300514046031 0.0258334726142897 0.0271012106803778 0.0270128620954386 0.0269416561140254 0.0325201349574162 -0.142701234588967 0.456632509015157 -0.244149548756181 0.452728456156227
"result.33" 1000 0.2 0.1 0.25 1.5 7.5 0 10 373 200 1.52142138204839 6.88589312297344 -0.00741933088485755 -0.178352532968359 -0.0127885519228296 -0.0130730102604573 -0.00169962594684317 -0.00202316830669866 0.0231250261672911 0.0226655461053451 0.0267866831756405 0.0267504078431998 0.0265472245273908 0.0276603754579454 -0.294815407857189 0.348440684823268 -0.289043862110798 0.319500722005911
"result.34" 1000 0.2 0.1 0.25 1.5 7.5 0 10 380 200 1.5840455423089 7.16301701217337 -0.253982191054703 -0.437436370887017 -0.265092037568104 -0.265278825053951 -0.257493089367593 -0.255453669017584 0.0288388674714736 0.0283306476166199 0.0314096029670355 0.0314361942730541 0.0355420572717072 0.0282913740856912 -0.647606379072815 0.0495842204834241 -0.600024819286569 0.041114703199673
"result.35" 1000 0.2 0.1 0.25 1.5 7.5 0 10 378 200 1.42115446081401 7.77426050414388 0.124640834575636 -0.0659562857943475 0.118354974004181 0.117165662070445 0.116587135999849 0.118662290012617 0.0235612761164479 0.0229652160116731 0.0269617203431851 0.0267862398804075 0.0258898859517898 0.0278965196033176 -0.204377033876343 0.400227999519152 -0.17731632355457 0.431504649065436
"result.36" 1000 0.2 0.1 0.25 1.5 7.5 0 10 406 200 1.52047758964048 7.82089405745769 0.0452207294972475 -0.151478506749261 0.0479700108913106 0.0485242151224818 0.0477532537471003 0.0552062574865449 0.0270003441813105 0.0265569938760481 0.0287083378843984 0.0288662891252184 0.0291656320194289 0.0322289992973212 -0.311348421269952 0.353779223021246 -0.297435933049361 0.395092233474164
"result.37" 1000 0.2 0.1 0.25 1.5 7.5 0 10 373 200 1.63422781854855 7.31419020433612 -0.00857894651300253 -0.196995108342847 -0.0114875123343449 -0.0119947847386919 -0.0100779832467833 -0.00647285825944527 0.0277038957591802 0.027198819164568 0.0281352533140636 0.0282543977299369 0.0306232556133934 0.0279286556760238 -0.369588344969169 0.333655988956152 -0.37156244366692 0.338671587545363
"result.38" 1000 0.2 0.1 0.25 1.5 7.5 0 10 419 200 1.56357286336521 6.99013170436214 -0.151875117666842 -0.350017566953034 -0.158697008455307 -0.158303720388257 -0.149047964630719 -0.148343051981756 0.0251018781904844 0.0245811021468102 0.0283662333150106 0.0285635607941855 0.0304324823389989 0.0260036071007923 -0.464905310352263 0.244216050151262 -0.433348168796888 0.194580191671166
"result.39" 1000 0.2 0.1 0.25 1.5 7.5 0 10 391 200 1.37896033263955 7.89676012927262 0.44539461361139 0.258320726669054 0.460102702996413 0.459645231499166 0.470232302851143 0.469206777582913 0.0183929966696421 0.0179843044208437 0.0173995115464184 0.0173484970182481 0.0183809401046202 0.0169606937252398 0.204038909076265 0.732642398524971 0.198780882707342 0.733952177422063
"result.40" 1000 0.2 0.1 0.25 1.5 7.5 0 10 396 200 1.66245656493307 6.83997805496117 -0.0619396659602592 -0.259064988845735 -0.068419048226093 -0.069206915305093 -0.0655590944627418 -0.064164312875793 0.0247920497084864 0.0244887901127313 0.0251741303286923 0.0253227641121214 0.0318306914595875 0.0259400542328797 -0.483590786338435 0.221371530177106 -0.392379955201764 0.253331323074121
"result.41" 1000 0.2 0.1 0.25 1.5 7.5 0 10 381 200 1.42194225808059 7.56534166849303 0.100945159022198 -0.0869018806868358 0.109867000817312 0.109137824841686 0.116974236977464 0.115911998728338 0.0252115006248321 0.0246366416085443 0.0303512009437301 0.0300617478094639 0.0298914953029466 0.0286740970733951 -0.220473987462251 0.447767691809723 -0.190797005230068 0.43055924302268
"result.42" 1000 0.2 0.1 0.25 1.5 7.5 0 10 393 200 1.49585261272486 7.55825055256269 0.0270677200534566 -0.162251774825176 0.0360270039132576 0.0353905229743868 0.0386486847183799 0.0414610312052588 0.0242935912264304 0.0238729689796326 0.0252609039795999 0.0252180439817414 0.0271630224708315 0.0242585189394088 -0.29041999730669 0.339212160966502 -0.237600807987131 0.327341312188673
"result.43" 1000 0.2 0.1 0.25 1.5 7.5 0 10 388 200 1.4785500247853 8.40392836613045 0.0765520631744126 -0.0890789407068629 0.0815290344362566 0.0811642637164973 0.0879250352547638 0.0908321323488779 0.0253892597272469 0.024975228581583 0.0273362342368395 0.0273422446143449 0.0287878159710055 0.0292655200738046 -0.268366232293568 0.401287542848939 -0.226238256729941 0.422457707604047
"result.44" 1000 0.2 0.1 0.25 1.5 7.5 0 10 388 200 1.61301092649663 7.38801519404194 -0.101168877459145 -0.275387302164944 -0.097719755935388 -0.0978904299625847 -0.0985509898416837 -0.100369544065023 0.0272389090593917 0.026768113478474 0.0298554134440602 0.029816069115661 0.0312173111640049 0.0315399960060947 -0.452244785029929 0.253012554477491 -0.438227529376961 0.207669241184975
"result.45" 1000 0.2 0.1 0.25 1.5 7.5 0 10 389 200 1.49280834702973 7.28991559221796 0.00248806160138794 -0.183431365285409 0.00654084061174034 0.00563558168736916 0.0108694222010266 0.0138202458904655 0.0244104187823567 0.0239728588485458 0.02518711823585 0.0251226122023766 0.0294055518864967 0.0216897675184505 -0.29804599809824 0.340355983451729 -0.256304144923657 0.296674125769929
"result.46" 1000 0.2 0.1 0.25 1.5 7.5 0 10 386 200 1.77007493824304 7.36980544222976 0.219387435307709 0.00329064726491769 0.227517680646687 0.228588067445716 0.23514577245823 0.234764815023988 0.0269065404393657 0.0265187369770346 0.032613586591473 0.0328614991352636 0.0368963275416822 0.0315026410202006 -0.123068756373282 0.599143862647806 -0.158671837106403 0.609168768628535
"result.47" 1000 0.2 0.1 0.25 1.5 7.5 0 10 351 200 1.35438843583417 8.65853812789025 0.0789087566199381 -0.10187564381374 0.0843608646107827 0.0834272944903233 0.0882971400524414 0.0870209831976658 0.0274431873023677 0.0269564160894576 0.0306067422164146 0.0305026390821205 0.0378163663399207 0.0325524779400685 -0.301455258754782 0.46477714947321 -0.203956942284231 0.444716701495859
"result.48" 1000 0.2 0.1 0.25 1.5 7.5 0 10 385 200 1.60342135510889 7.31686884885967 -0.0917039048428692 -0.273556469593322 -0.0989302309819961 -0.0998620323757684 -0.0936137462861207 -0.094782883302291 0.0297619643241636 0.0291195216535781 0.0334275714471924 0.0333169322173413 0.0296729745160701 0.0399547445332084 -0.422505695451753 0.228580623846466 -0.45756325991561 0.303866569809701
"result.49" 1000 0.2 0.1 0.25 1.5 7.5 0 10 393 200 1.55452529159742 7.66205477889721 0.370897453960062 0.197002118365815 0.393974897011139 0.391798794436689 0.385262445270004 0.386811412051646 0.0209342958920504 0.0204105956234599 0.0235860115189128 0.0233120603494849 0.0271718437430784 0.0218310639350534 0.0535345876906778 0.681639538661589 0.11987738999287 0.656091985983884
"result.50" 1000 0.2 0.1 0.25 1.5 7.5 0 10 385 200 1.44601363256196 8.1939000146992 -0.105337290280985 -0.277982360621442 -0.109375825893883 -0.109808732538378 -0.121758752562591 -0.119962483440997 0.0273299532559422 0.0270190728632544 0.0288627241992443 0.0289318791208557 0.0291742816134132 0.0302867499001312 -0.452618035209406 0.216754937990004 -0.464461165322278 0.206205375482011
"result.51" 1000 0.2 0.1 0.25 1.5 7.5 0 10 398 200 1.47999748103826 8.13462602938249 0.128758670635139 -0.0667618510970173 0.123142363483039 0.122634317529332 0.135723810871518 0.138595660741719 0.0244476666922912 0.0240659300293064 0.0270754499725951 0.0270243695285281 0.0282347941849809 0.0328132939988619 -0.194396193775122 0.458718072127572 -0.185320227823816 0.479516562992307
"result.52" 1000 0.2 0.1 0.25 1.5 7.5 0 10 370 200 1.39665943987177 8.04956525973337 -0.0286445586394513 -0.218834421476632 -0.0330268165293794 -0.0325813283490224 -0.0265210498407335 -0.0257293960527481 0.0256628930101727 0.0253151575327882 0.0278594310374393 0.0278714912291534 0.0295552414816292 0.031136528323514 -0.375687854235123 0.256358255230604 -0.371791179990951 0.285022130247662
"result.53" 1000 0.2 0.1 0.25 1.5 7.5 0 10 403 200 1.44449649144662 7.42639053794332 0.363522675377423 0.165145312837755 0.374922801984526 0.374291549398429 0.375976822264088 0.375284714435834 0.0198944840404372 0.0194936372637364 0.0200927591843672 0.0200725499346536 0.0207242002472573 0.0237294642586303 0.103701913143642 0.659059544156578 0.0600298468801715 0.682754457224098
"result.54" 1000 0.2 0.1 0.25 1.5 7.5 0 10 394 200 1.65229158949374 6.68487695271034 0.0474160009813195 -0.147561366725984 0.0479392460185596 0.0473521142455237 0.0474303672960928 0.0470211486921988 0.0234075489293723 0.0229496512672443 0.0243660011196705 0.0243457153903985 0.0249325801790368 0.0265732319557401 -0.255667246769458 0.294452227416594 -0.272999998193162 0.342901850868553
"result.55" 1000 0.2 0.1 0.25 1.5 7.5 0 10 393 200 1.51141568521305 7.52538489189283 -0.0197115669872839 -0.212392565614086 0.00188211532299364 0.000643072806653312 -0.00622702035217345 -0.00292926076268467 0.0259613518913364 0.0255076423121477 0.0277611652526413 0.0276311173712236 0.024885967009086 0.0250252017117633 -0.337511141676535 0.288143599349495 -0.337144616140441 0.294664140455354
"result.56" 1000 0.2 0.1 0.25 1.5 7.5 0 10 404 200 1.71455880472039 6.46344127520335 0.412301597732283 0.16644960771255 0.420459288119906 0.420415885338949 0.430155898379481 0.431508583306728 0.0216800692529613 0.021298056924967 0.0245202283325092 0.0245914450335179 0.0259289853376291 0.0251410966812758 0.129602687114043 0.762775779537051 0.145941696146747 0.789570325797109
"result.57" 1000 0.2 0.1 0.25 1.5 7.5 0 10 372 200 1.59307305389022 6.70521310935404 -0.112617465888763 -0.296114890571548 -0.135379386358816 -0.134897015335214 -0.122526450738768 -0.117489091307488 0.0258918496930274 0.0253281870857262 0.0262505751011816 0.0262347709589184 0.0220421964030091 0.0248699210154323 -0.417590038740335 0.122831391423478 -0.424321077238234 0.17416212630451
"result.58" 1000 0.2 0.1 0.25 1.5 7.5 0 10 362 200 1.41856063166625 7.63363073741365 0.0564376411711073 -0.142166887048049 0.0704891480148617 0.0722722486454321 0.0771615113586186 0.0806422808610272 0.026346014748723 0.0259225797335704 0.0317476583551897 0.0319540481928431 0.0327356499176056 0.0333928431839898 -0.287428453825599 0.374951573065852 -0.265646978908447 0.38161673558747
"result.59" 1000 0.2 0.1 0.25 1.5 7.5 0 10 382 200 1.52690086869718 7.53854880206885 -0.00558183554424597 -0.200886070235258 0.00544892425244803 0.00521456662392132 0.0154750530410247 0.0170405566812718 0.028407583189386 0.0279859897198837 0.0316635508730574 0.0316895069172321 0.0298379144752725 0.0318354439574139 -0.337771869747109 0.323893829781184 -0.327474249386995 0.372920312714978
"result.60" 1000 0.2 0.1 0.25 1.5 7.5 0 10 390 200 1.65263768625217 6.43812105682886 0.0325607279078323 -0.171244058540873 0.0104752992536105 0.0107722485116504 0.0132539559929629 0.0128799716110408 0.0222588782661796 0.021751061406867 0.0211088481104274 0.0210416590778043 0.0221134524108248 0.0174824335729291 -0.268606543493949 0.267844150313163 -0.240925871939516 0.259802955256595
"result.61" 1000 0.2 0.1 0.25 1.5 7.5 0 10 379 200 1.43902539476767 7.87424170702085 0.0302932156408955 -0.164059710375371 0.0312619917144246 0.0319508018100439 0.0281777943611811 0.0288224868161773 0.026404809838079 0.0259482150142009 0.0301903505432979 0.0301689361966989 0.0325526109636921 0.0287408348515187 -0.348711969183929 0.329434857947247 -0.324786879613421 0.35110516657128
"result.62" 1000 0.2 0.1 0.25 1.5 7.5 0 10 396 200 1.61436014218997 7.19888311763149 0.0111909548468776 -0.159971124068449 0.0221523859138797 0.0214578266960673 0.0351697599107255 0.0397927128994751 0.0240550059006779 0.0236657330126686 0.0239679112826643 0.0238964438421225 0.0246240398508262 0.0279135897189599 -0.267429875176251 0.312252453574994 -0.317163231104913 0.318374079035782
