"" "" "" "" "" "" "" "" "" "" "shape" "scale" "X" "X" "" "" "" "" "" "" "" "" "" "" "2.5%" "97.5%" "2.5%" "97.5%"
"result.1" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 487 200 1.29050780467026 11.1844725089237 1.52554283373781 1.02951194772422 1.69020234470017 1.66239941482561 1.69322725647782 1.67401275262547 0.0163314507483211 0.0161243436545514 0.0212819331248066 0.0204817312516445 0.019163024296754 0.0236092440122406 1.39621647097654 1.94519718866907 1.38077117525966 1.94609579788918
"result.2" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 454 200 1.56165929270032 8.53117154203732 1.74389003631052 1.16787482770199 1.88344772049324 1.86549341858629 1.86078826006258 1.8952626778809 0.0154722360322119 0.0149271238614903 0.0252613171292089 0.0244304180635267 0.0269306547496047 0.0335250298695832 1.49278292053192 2.18668536729776 1.52720587107557 2.27568199946051
"result.3" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 458 200 1.30741056880583 10.6928949298255 1.31239642166475 0.898301014762211 1.40891274516955 1.41248759323387 1.36753730210606 1.38511860433559 0.0164406722226677 0.0160364587895074 0.021253777913843 0.0210225249232469 0.0237117715218635 0.0188512357068161 1.12006494006363 1.69190730281771 1.13047508063815 1.65821564604338
"result.4" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 447 200 1.40619944941205 10.3436950805556 1.53400350109803 0.998641490613287 1.67420419295992 1.64650956810979 1.69545303906961 1.70910649944434 0.0192252321406829 0.0187890459631991 0.0260223460921784 0.0255347859112413 0.0252270419649707 0.0263871108541039 1.3510258024692 1.94456212039484 1.35232255282896 1.98900001727622
"result.5" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 480 200 1.31823187732202 10.9450243935407 1.32022738258862 0.803263426285762 1.46941871477134 1.45374809272459 1.45816131681655 1.4657563585337 0.0177259321354474 0.0172914685672443 0.0232091906638608 0.0227752146792674 0.0240163711174512 0.0246409751422369 1.17150538172275 1.77549315460791 1.12938614920494 1.73559944521506
"result.6" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 467 200 1.33258068230984 11.7740257778585 1.44790850926974 0.954451003047421 1.6089803365421 1.56920152125448 1.62533501593078 1.64097635418888 0.0183468715767164 0.0177319282039162 0.0261189170300291 0.0250165101656941 0.0283786026199836 0.023244917159652 1.31751785084197 1.97139191146104 1.30752559887582 1.90359636385273
"result.7" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 473 200 1.42182661623657 9.05169990512698 1.41573191636141 0.859567231444732 1.52757854872425 1.5221403376205 1.50251109997271 1.48700200558228 0.0165278758116433 0.0161174908575497 0.0178100041841799 0.0174333490967608 0.0190202171808621 0.0164919810788622 1.23889569225423 1.77641454120442 1.27053618711894 1.75157073948885
"result.8" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 494 200 1.28260044950344 12.4946646392093 1.49389231878634 0.973620527017721 1.61786499538634 1.58568609443171 1.5727578858431 1.592054360988 0.0185120379758588 0.0180785474559247 0.0226519696380639 0.0213880134975587 0.0223865530667827 0.0210221142612519 1.31918874840326 1.93112643464399 1.35261924679348 1.87961130541336
"result.9" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 446 200 1.39348052364013 11.0772273563989 1.49704051177497 0.966645436624536 1.69387586920781 1.66919929396332 1.66796607165855 1.68050642194986 0.0200723933216758 0.0196397343582342 0.0280474723434951 0.0271732672870499 0.0250186730726575 0.0229466999186274 1.36697458153107 1.96740364786046 1.35557848602591 1.95481394265708
"result.10" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 475 200 1.43664385928313 9.4507144367447 1.4985543733419 0.97801621695825 1.63472711606491 1.60896973688147 1.65106807403947 1.64655821595052 0.0166084515613644 0.0160984272472595 0.0275108641532534 0.0269087439490883 0.026439911471895 0.0283027500955554 1.36584343224628 1.9851969772906 1.33028440583718 2.03216577040655
"result.11" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 473 200 1.46248624777534 10.0770433234357 1.42375649349591 0.858624053230718 1.60432143767014 1.59582726964587 1.55983870286083 1.58316767375913 0.018645942543174 0.0182902274843724 0.0279000815505604 0.0274616147804864 0.0233636031131393 0.0310073102927224 1.27989604034159 1.8698096965976 1.28466688180458 1.91205846810342
"result.12" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 470 200 1.39982370677096 9.70746817893899 1.4655797256113 0.948756287015917 1.65566572834625 1.62233391064506 1.6343448977097 1.60319386601174 0.0164399102597399 0.0160281442078836 0.0247695304007025 0.0235229738631287 0.0230388827023867 0.0233645225603014 1.38999054814315 1.94316754344399 1.35402745685797 1.91437332171867
"result.13" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 471 200 1.41699548436204 9.0198365606024 1.43480541994304 0.897761853268032 1.60239094951193 1.59289970845769 1.62249316820675 1.66200311311884 0.0156206998862879 0.01516991748561 0.0213310233153664 0.0208918550344819 0.02314521401199 0.0275555819494969 1.30918072121944 1.91367411449937 1.2762963464033 1.95288534529705
"result.14" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 469 200 1.35367148443712 10.4819682413904 1.24486166981994 0.762035781264385 1.36489874163631 1.34273643724544 1.357896216629 1.37393251797003 0.018699098460749 0.0181917384097501 0.0254711405858561 0.0246995863124711 0.0267602272265522 0.0263570520865624 1.04275604906554 1.6217915032454 1.09396484274012 1.70785457846494
"result.15" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 445 200 1.20899685200201 11.4980170921599 1.42138006785863 0.895248006089579 1.60018624063186 1.58601987063709 1.57081195525296 1.58632459951747 0.0178717015527789 0.0173504273782524 0.0267431270664701 0.0262213995438802 0.0244234426376642 0.0278045638198566 1.28873512985646 1.87561118630564 1.26344470880907 1.88008007224857
"result.16" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 481 200 1.27625142473748 11.5182179918036 1.3263206026426 0.848969251800344 1.44856866990326 1.44468533344768 1.45461288594578 1.46191981871051 0.0173777403779363 0.0170722196722776 0.0232061409031296 0.0230397336311372 0.0225773540995198 0.0306884612914214 1.21456518792778 1.7869006523983 1.15801992494237 1.8225663172004
"result.17" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 460 200 1.44285565451716 9.50912523458268 1.31819643518173 0.852709159346034 1.45756808247603 1.43522722995834 1.42998191974737 1.45423936161564 0.0166458501475417 0.016166546847873 0.0226653252890621 0.0217772003634484 0.0248619279117678 0.0178868736134904 1.17736523474377 1.79357846979783 1.22668700500417 1.72415333195629
"result.18" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 454 200 1.5420382273772 8.69953846999417 1.15003007745566 0.696902372316769 1.30104929770581 1.28889941067654 1.28194098163139 1.27748314260382 0.0171158122602239 0.0166102574462251 0.0203691613576828 0.0199674781494756 0.0223215410605811 0.018432041117639 1.01550658826726 1.59515784468466 1.041698039297 1.58263421646225
"result.19" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 467 200 1.42988910834085 10.2451806446131 1.43522443968871 0.856406632861941 1.58966685648092 1.56422541342314 1.53863407444585 1.58716634050311 0.0200959412505942 0.0193956546145276 0.030267899291659 0.0290621395312935 0.0304748050806898 0.0292065612026347 1.14628592426593 1.88962156726841 1.32674157189271 1.9627822479081
"result.20" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 451 200 1.47226332423354 11.1439948749586 1.61329093026062 1.0437335650804 1.79191390687562 1.77216199368185 1.78072979997261 1.81756158799913 0.0181297027311328 0.0178421579377565 0.0250750490992494 0.0242568419794933 0.0239518342250949 0.0335060479658624 1.48451742300431 2.07242607326819 1.48262828638342 2.20147404377185
"result.21" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 431 200 1.32731882317582 10.7830163993764 1.34260545487693 0.851668865209413 1.47127409295015 1.4591872843719 1.5119354036185 1.51029264842427 0.0183279929657272 0.0178953604522697 0.026854577611953 0.0263085622212463 0.0344898469331866 0.026560441929273 1.12337722326672 1.87280570146089 1.17338271299073 1.79062512120471
"result.22" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 502 200 1.36723847672987 9.08050675551248 1.26738592507787 0.7550028963958 1.42143433399385 1.40532925249742 1.43559618432936 1.4375012181727 0.0155474024788322 0.0151510114450257 0.0219866068010992 0.021494377103751 0.0202170637627434 0.0190431134944478 1.13367868235905 1.73057321395782 1.17260357915227 1.67892938845978
"result.23" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 459 200 1.20641768183534 12.5520959386126 1.55004986970665 1.02361418391301 1.77534550658839 1.76249537222274 1.73531114229313 1.72705953606696 0.0168867266410434 0.0166239431356792 0.0290796353665015 0.0288284134092192 0.021525398285983 0.0291430133260565 1.48262366961992 2.07359485304579 1.44201225025267 2.04613610410708
"result.24" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 457 200 1.17486256773499 12.2807987216883 1.20311184762779 0.762206250240541 1.26806159620314 1.25755815533204 1.27569913764536 1.27742226824448 0.018153140125607 0.0176319453806964 0.0242667738718356 0.0237552601924064 0.0251270310165452 0.0218725691142275 0.937727908989932 1.6050985459251 0.972996531759088 1.53991995633713
"result.25" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 446 200 1.43764821154345 10.3647962869283 1.41774508839032 0.898718451514356 1.53136307418797 1.54372815769925 1.47312724908788 1.50318429479234 0.0198675406366188 0.0190490165445743 0.0257422912357372 0.0261718698850056 0.0255105948961795 0.0228488024638291 1.23385592683236 1.84702889104093 1.22405558348198 1.8367296596144
"result.26" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 453 200 1.23267581699692 11.7251797441716 1.4229592404647 0.934526152149507 1.57102114710501 1.56067182805685 1.55375524508608 1.57511863732942 0.0171071110526008 0.0167145597204931 0.0217259208556567 0.0213112661516949 0.0233447813551283 0.0254923847273615 1.28241166720682 1.8539572341889 1.2719950107827 1.86898347076771
"result.27" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 462 200 1.61746233739233 8.483055795486 1.59483630703432 0.997106192695652 1.82455239754978 1.7969525872835 1.78599209065968 1.80021919756068 0.0160432263164832 0.0157542057199165 0.0305389365963 0.0297406974530357 0.0280000099191582 0.0250547982943969 1.48251002736838 2.0499589215553 1.52254054629357 2.12193266516425
"result.28" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 475 200 1.25038670919945 11.7820371500589 1.42216541788123 0.941103156524495 1.58326610299021 1.56243577587272 1.5462520602036 1.53673539520638 0.0166520605088009 0.0162533100739376 0.0231101950630419 0.0224748280146071 0.0233855186285711 0.0214192591995135 1.25686465719212 1.84243963556974 1.26032870808783 1.80898095110608
"result.29" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 457 200 1.60778227593968 9.07720367453491 1.57488938192539 1.02820014826287 1.72508615619084 1.71338059044306 1.74824714833784 1.74198335877886 0.017121927837043 0.0166897895955024 0.0220905973974152 0.0216910018047107 0.0227741533961239 0.0192250921476263 1.47505163288549 2.08356114667426 1.48062861657152 2.00985801953332
"result.30" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 490 200 1.33142029269242 10.201223757383 1.56808479169121 0.993495101943084 1.81599049479169 1.78636799192798 1.80983525269463 1.82145128774758 0.0159394639327765 0.0155858615683409 0.0252018330168314 0.024285929535532 0.0282350364341903 0.0277966598764555 1.47859022718113 2.12803216578857 1.52307373327436 2.16513672692742
"result.31" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 472 200 1.20282509325683 12.2361248843227 1.41774001675362 0.956131277579662 1.58431808546356 1.54912463366077 1.53528075900324 1.55375090025397 0.0166306336227553 0.0161939463570137 0.0252503571427655 0.0239931691058671 0.0229453983596554 0.0214690334846101 1.30561932248847 1.87799666700079 1.31246512442854 1.88300664353018
"result.32" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 452 200 1.39400984587444 8.90233966100609 1.56374750012703 1.03008308029386 1.74554611682966 1.73826222148587 1.74979725510405 1.75430040921967 0.0153644262900387 0.0150117762121492 0.0195844490870011 0.0190993320495439 0.0180440524433485 0.0216238609041561 1.52234051886457 2.01062438381227 1.4976229226738 2.04983528283765
"result.33" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 467 200 1.24179758990665 12.4737311661104 1.34298366217572 0.880686822020494 1.52692479870727 1.47395344758567 1.46590864760184 1.47443632615511 0.018244698735361 0.0177567788006307 0.0280700721499817 0.0258886107928159 0.0291491947155108 0.0263159081561387 1.16667992956051 1.79068667632898 1.17122001705781 1.78629719384607
"result.34" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 470 200 1.45659162043698 10.6003154577058 1.46396073314254 0.938055866584915 1.64889643291804 1.629923832028 1.66982664392372 1.68030576479364 0.0190756226824008 0.0187188992805232 0.0228157528046277 0.0221085622143254 0.022501696540287 0.0257111637620471 1.40689735392413 1.95319414378777 1.35527444606982 1.93949347025486
"result.35" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 487 200 1.38581922899941 10.0672647664395 1.72783508171442 1.09988050982367 1.89004338400513 1.88896412888206 1.89501324873625 1.88403947063254 0.0159551729215136 0.0154460124493811 0.0202438070520382 0.0201888572614354 0.0193542664469854 0.0206437796167431 1.68209277330464 2.20566524079181 1.65270945002085 2.16304054728909
"result.36" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 504 200 1.62045089211178 8.67827308262022 1.51708536033378 0.885546575317379 1.65559936138813 1.64854096902609 1.61940085728667 1.66720536082567 0.0166930364292212 0.0164708973023387 0.0178586598825583 0.0176153305395634 0.0161416477730202 0.0214906719855685 1.42901918763657 1.88362789007228 1.4042077438838 1.94660083245997
"result.37" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 465 200 1.38616794746175 9.14578546145415 1.46106403947069 0.928457147755328 1.63271891167059 1.61153169600781 1.62028135053037 1.63911877516602 0.0162473619397777 0.015741710609024 0.0229057585078079 0.021900430802756 0.0257562633555985 0.0242510858094414 1.33828580057203 1.92586627747326 1.36144432752169 1.99128599354614
"result.38" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 481 200 1.43542388192312 10.3260660560835 1.30752984288827 0.8382719704598 1.43341428026032 1.42662378611795 1.43815665675662 1.42714061540062 0.01743562839837 0.0171971131613154 0.0220965126579868 0.0218261728706582 0.0217612117825104 0.0210565444569463 1.16512272614917 1.73289449258986 1.15248353752991 1.71586018761908
"result.39" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 455 200 1.49682959149151 9.96070436915651 1.23961102348074 0.791222187171621 1.32844724790901 1.31839019596579 1.30560946537482 1.32733992730391 0.0191939590375746 0.0186703936132852 0.0196859171628566 0.0193944954931953 0.0156747458573024 0.0168335280381022 1.07763006155161 1.56986958215711 1.10424895307437 1.59930501010647
"result.40" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 462 200 1.60273897155713 9.44999664874932 1.22612175453189 0.684191032343912 1.39367942290233 1.38022980165735 1.37606612101161 1.39410505351038 0.0211141599940296 0.0205844608846861 0.0323774941322541 0.0318826703416044 0.0371927822131188 0.0364383141557068 0.997722172983316 1.7503334738324 1.05797542023668 1.78011628088459
"result.41" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 446 200 1.42126359313641 9.77139655198187 1.45200105531699 0.91790296434582 1.65738555615549 1.6188743929486 1.59230735398599 1.60060048829995 0.0179000757794764 0.0173537789217547 0.0236587651511247 0.0225157313012971 0.0247558217940045 0.0261458211103188 1.33757195864655 1.94183366495254 1.33148301512251 1.91737257622564
"result.42" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 471 200 1.42122421029654 9.86238365201618 1.3852072873603 0.879207750859251 1.54485842234711 1.52458464383523 1.52064861024918 1.51920153396598 0.0172607822948987 0.0166867503981592 0.0221719923051586 0.021405515628314 0.0203729421251182 0.0240168172472479 1.27978694298923 1.8289626496599 1.25159548549671 1.81061291592596
"result.43" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 455 200 1.2696340032705 11.2803045436684 1.51262465524659 1.06482452427105 1.63922559613702 1.62798465802223 1.65539959595746 1.65095666218584 0.0154842649298884 0.015237560872881 0.0185555457716513 0.0180401381685458 0.0190751311078331 0.0213232633450247 1.42271641445695 1.93052856499548 1.40793507958567 1.93363337568871
"result.44" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 467 200 1.4993017186196 9.20200331575314 1.45340584705845 0.938948587217469 1.56752028676327 1.56412347478643 1.5562561979209 1.53596358010931 0.0160402323944618 0.015667651006923 0.018911569601554 0.018284497935671 0.0173206171317268 0.0203261765363319 1.31078533694101 1.81070856190538 1.28847527741424 1.84212882871351
"result.45" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 456 200 1.67942925548372 8.08360538102976 1.53230903399364 0.895649100941091 1.73653565365776 1.74365803337433 1.71294748256187 1.72331031785949 0.0190515567963922 0.0185718465593314 0.0282193768289959 0.0285395455682097 0.0284020394686502 0.0308478266389245 1.3939639571879 2.0522400909626 1.43201674703428 2.10112076563875
"result.46" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 460 200 1.39961348108281 9.38969643972227 1.49856322337945 1.00059962362844 1.70901862315099 1.67614051081643 1.7443511881538 1.74025618857 0.0156255468007727 0.0152109461368645 0.0264533990442517 0.0252433436350245 0.0233820482960465 0.0271018618372542 1.46568400043991 2.02935005662399 1.43008216321588 2.04488600347634
"result.47" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 490 200 1.49204064674994 9.09007197972778 1.6059413940985 1.02371162928476 1.73979504731468 1.72228409315699 1.70586017503765 1.73457304136601 0.0154622235869406 0.0152305291342051 0.0252523433017211 0.0249336709471141 0.0273676522033582 0.0260289293738253 1.41058908904873 2.01653790239383 1.45486380258545 2.09852979004448
"result.48" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 461 200 1.33423412684296 9.78940128371279 1.38895425312916 0.87627319520955 1.52256821887183 1.51464818568407 1.54588482656716 1.5599290053383 0.0154882034553288 0.0150968018757248 0.0241834650843955 0.023809183570756 0.0285524085044956 0.0214342183527441 1.17007372624161 1.85349586140391 1.26942277417616 1.817282293778
"result.49" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 468 200 1.2465193876228 11.3239579465516 1.53968639152101 0.985096791654217 1.61944037864208 1.62745554642251 1.63275897845309 1.67563829800582 0.0156384466296897 0.0153254172126287 0.0220456399986063 0.0221203460903831 0.0229648455262372 0.0244516958483974 1.3070980883514 1.8928892483312 1.34161619871767 1.92854031514841
"result.50" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 451 200 1.16992015375729 13.0062422628287 1.5331849999356 1.05888451906979 1.67421281143508 1.67263597451798 1.65671200343699 1.64490925502561 0.0164560464162135 0.0160255508021296 0.0205203590026805 0.0202987628136942 0.0228016120918136 0.020857515690161 1.38526180140447 1.98003971542376 1.42274767547379 1.96333913711301
"result.51" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 442 200 1.38383016954358 10.4376651723456 1.6663732018362 1.07748300454065 1.82853332376335 1.84503413958199 1.80258241895812 1.82404607293191 0.0177293100297146 0.0170778213660971 0.0238369915136837 0.0251480649774345 0.0198972956848101 0.0243414237311938 1.56669606960839 2.10718877927159 1.53884444696098 2.14697030640095
"result.52" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 474 200 1.51522448936697 10.9800821874081 1.59832340683081 1.06915483715373 1.78510408911156 1.75469732822292 1.78362296908098 1.77806987773966 0.0204944765755408 0.0200013722588094 0.02748997441574 0.0261602681512638 0.0261622921667426 0.0312300141484305 1.527482421172 2.13028600756184 1.408273217153 2.11337441627284
"result.53" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 447 200 1.42879527629394 9.47124842262349 1.55497155037494 1.00577745753262 1.70014615429301 1.68284290754234 1.69556539405516 1.70997388304189 0.0170803521715008 0.0165272292032509 0.0234726804283149 0.0226676912017547 0.0179801310061953 0.0185663933677225 1.4576336839645 1.96280554724597 1.4830059937767 2.00747215960216
"result.54" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 441 200 1.17023560423566 14.9855281236063 1.30223009788285 0.857925498810935 1.39606068947462 1.38681548413431 1.41032134384663 1.42748140657758 0.0202193758431906 0.0198219447657519 0.0227393960601411 0.0223620020941462 0.0252071176607246 0.0207533329032378 1.14898033824467 1.75928333474104 1.16399701942263 1.69486179028367
"result.55" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 467 200 1.21472131475096 11.9925489181125 1.58195200141902 1.03941927486603 1.72713121224478 1.70505501909101 1.71912305595194 1.72485820874273 0.0167319635792335 0.0162567672496623 0.0226096417604494 0.0219610299738936 0.0205147827119555 0.0203571680598275 1.42788051479365 1.97967500557148 1.45936825312089 2.00859164698818
"result.56" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 446 200 1.19921983836404 12.2663357580371 1.54874070459934 1.02808485154277 1.71282704057612 1.69240777525143 1.69295877373582 1.73426790377586 0.0166931702210148 0.0163135263105056 0.0241553086766435 0.0232156746834306 0.0248937503998772 0.0295835965229054 1.40411565738552 1.97986553731114 1.42241114531322 2.10563557258532
"result.57" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 449 200 1.24769543900377 12.417439101667 1.69611241178686 1.12856805204888 1.77492134285847 1.77820601832828 1.74524212652858 1.75456294505551 0.0175294595525934 0.0171786500422578 0.0232969110015999 0.0231050215419794 0.0245751318915002 0.0277920645630195 1.46490574780111 2.11436524263738 1.47546473127849 2.09814140855531
"result.58" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 458 200 1.28808800549771 10.5711070890574 1.43725632352859 0.935348513667571 1.5263904364155 1.51424194364078 1.50266213068805 1.49198413551037 0.0163896184344223 0.0160752079704795 0.0218292865966952 0.0214031874366572 0.0222876269185538 0.0208034461925362 1.21685840166755 1.83526454554897 1.22669204253613 1.75676055837423
"result.59" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 454 200 1.29409528809419 10.4672288940814 1.43731577135455 0.973958151926332 1.63893231214926 1.59474308368638 1.6063039394402 1.60368394720431 0.0164464230539417 0.0159050134631096 0.0260900699987165 0.0241978223716885 0.0265570196246629 0.032090060732762 1.27770570888331 1.98274385746932 1.28482894694831 1.95235445668062
"result.60" 1000 0.2 0.1 0.25 1.5 7.5 1.6094379124341 5 467 200 1.28201616211744 9.80469714031939 1.31950402793551 0.77897345454426 1.44579701757176 1.45490203560999 1.46996793865877 1.49645341540995 0.0168075859487439 0.016317267310601 0.0228809996688378 0.0229807123571798 0.019899087777828 0.0246625750050311 1.20143401290565 1.73728159089248 1.15862026890392 1.81566805162534
