"" "" "" "" "" "" "" "" "" "" "shape" "scale" "X" "X" "" "" "" "" "" "" "" "" "" "" "2.5%" "97.5%" "2.5%" "97.5%"
"result.1" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 372 200 1.46447199636181 7.18416588838118 -0.377717475399431 -0.727916805756441 -0.414849678837267 -0.414353398407292 -0.421419534262757 -0.42150934445551 0.0368276552177953 0.0359697184654934 0.0390042419012506 0.0388445253130593 0.0318128883556536 0.0420644987288777 -0.789136448696803 -0.0861086519474137 -0.852746589668283 -0.051477438162816
"result.2" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 380 200 1.37011338517713 9.52536197725799 -0.495489830822655 -0.79924489630723 -0.549032685676804 -0.550499925571337 -0.537722839607325 -0.536593830133848 0.0479014866923172 0.04689222293892 0.0533480411046945 0.0535973142535097 0.065227958039571 0.0629705716432743 -1.11133260454118 -0.133715660906949 -1.02224903331967 -0.0682413711006866
"result.3" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 357 200 1.42948065065736 7.42023253101547 -0.816204858798186 -1.11062164726264 -0.831541888980771 -0.833369054100997 -0.820279597407336 -0.818086489405026 0.0484787598177591 0.0475240418305162 0.0514486319375809 0.0515746300390136 0.0719160891132523 0.0610966759931382 -1.38506396274147 -0.375291393691157 -1.34605259527186 -0.35546248297063
"result.4" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 372 200 1.37636881815791 8.20194522928136 -0.512748997855659 -0.789364089492105 -0.530309188386693 -0.530858928441598 -0.514875614241223 -0.506135499456023 0.0345659336915732 0.0337091238468563 0.0363939155506094 0.0365012996292273 0.0375426841250757 0.0453944119848709 -0.9066842800161 -0.171552962078942 -0.925917045873387 -0.11751730617448
"result.5" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 371 200 1.60307036345492 6.63021875857446 -0.81404777336754 -1.14848513820844 -0.883486791308012 -0.888962650326081 -0.916893451973343 -0.91675995202469 0.0457559271917137 0.0448542005582333 0.0522762541594074 0.0524460892728643 0.0504638308782899 0.0607972650425642 -1.33086820498964 -0.558267286595447 -1.51723857492217 -0.511564837107227
"result.6" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 372 200 1.39609365000764 7.52336566864454 -0.464505065279977 -0.757933549216418 -0.504178463000973 -0.503085427167611 -0.491121374666148 -0.491922996217984 0.0349404144419355 0.0338150817007742 0.0403322492890824 0.0401592517578128 0.0422549750900648 0.0460962127160493 -0.912056029098201 -0.139605746238121 -0.93566357359998 -0.0919392779310418
"result.7" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 395 200 1.50734655526401 7.24609904841568 -0.507302336096564 -0.83491005681607 -0.538494921083151 -0.538196861053811 -0.53370478620854 -0.538425254219286 0.0367923389862367 0.0356366418311906 0.0498175309598647 0.0500464328147201 0.05413162412255 0.054198738193346 -0.962630308522664 -0.10641571384657 -1.00975804935989 -0.147313162723982
"result.8" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 350 200 1.46647631527526 7.88361350815036 -0.48995320065843 -0.787740959899387 -0.538147916650807 -0.542462618199795 -0.541729276964498 -0.54473699993281 0.0418210246354692 0.0406759786719904 0.0408547268529413 0.041088554312481 0.0446659602755729 0.0514944891458229 -0.990633147527311 -0.184044946222246 -1.08882980879787 -0.162070962585953
"result.9" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 342 200 1.40416731640213 7.45419047066327 -0.728666500813419 -1.01328525935408 -0.769838046264423 -0.770770622634101 -0.769237248938601 -0.767235301567643 0.0438552561364215 0.0431054210837894 0.0480997489526386 0.0482101194123369 0.0506650677252526 0.0428110324545022 -1.2871138010698 -0.356808230344735 -1.21616923412477 -0.421057716717442
"result.10" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 325 200 1.56177811115002 6.94843691964473 -0.828629696548535 -1.1396486110768 -0.868889773020058 -0.868352738748291 -0.852766723572684 -0.857720646457572 0.0527484263797134 0.0516152870876815 0.0606775444332124 0.0606077015190947 0.075511904201599 0.0747895505311107 -1.43923268738212 -0.394740114938822 -1.49403228193374 -0.372324619996512
"result.11" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 352 200 1.54500305208755 6.80936392645751 -0.328089015009331 -0.676805878652105 -0.308167465538083 -0.307911796802768 -0.286818202937448 -0.29666278708609 0.0376120495251501 0.0365372888240464 0.0449945563647311 0.0450642777635235 0.0494460647516351 0.0484483883993361 -0.719497826885731 0.0711385112636731 -0.765500403611373 0.128009221642864
"result.12" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 388 200 1.38361093980852 8.16679371469443 -0.555285322324247 -0.826150585389421 -0.591446055597803 -0.593422784131719 -0.599365516952005 -0.593462469234592 0.0361360155396205 0.035300430676082 0.035468280399151 0.0355735101774435 0.0339188985677502 0.0319040246527686 -0.955056257118478 -0.245266191417528 -1.00902917477381 -0.312446006075948
"result.13" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 381 200 1.38462903591905 8.35376456864209 -0.891206538686373 -1.16332041345194 -0.932633926872701 -0.931359913703767 -0.943744052462879 -0.950436557214418 0.0514164765673019 0.0506275398897305 0.0530867165213008 0.052993882105215 0.0712879246772447 0.0606888992712009 -1.53388081938017 -0.559135189472966 -1.47859949741729 -0.546655219237996
"result.14" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 354 200 1.45489348712068 7.51718036256022 -0.494196253713695 -0.809448991622406 -0.539800599009806 -0.542855422135209 -0.544372556059144 -0.546180417230251 0.0390681595585961 0.0380883846219386 0.0419416147184457 0.0421282117383965 0.0501973872637193 0.0441347817510553 -1.04159920326793 -0.195684595134554 -0.990865100444972 -0.187507509652512
"result.15" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 360 200 1.54594713386022 7.29628740919918 -1.00910592048044 -1.27356307515403 -1.03773336797317 -1.04314605560118 -1.00972420281474 -1.00334347789743 0.0505152505492386 0.0494362596225567 0.0525585636304088 0.0530374622773476 0.0545432302115516 0.0653660087333154 -1.54215357318855 -0.693486527279569 -1.58520937333787 -0.563290528987172
"result.16" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 381 200 1.37851138767455 8.28253160168365 -0.553506568093385 -0.840786258329587 -0.595603557142093 -0.596016944451858 -0.58198965169932 -0.583150409908497 0.0452000831237363 0.0441487547101045 0.0497237270624273 0.0497469274703801 0.0553253537011555 0.0493061747761834 -1.09611846260078 -0.132235630245169 -1.05633232652634 -0.223775472418625
"result.17" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 369 200 1.50295883502009 7.20284448569637 -1.62016744078533 -1.90058836136096 -1.67609675673847 -1.68674517922731 -1.68437271102044 -1.68403970680799 0.0781066744090397 0.0769862096670172 0.0877994075734152 0.088681943572935 0.0963019922907387 0.10744097341042 -2.35785132686569 -1.26663851180951 -2.41590505159441 -1.12836334099376
"result.18" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 320 200 1.43654509913068 7.59853850129054 -0.430048785798304 -0.712166664210388 -0.462626375720641 -0.462721413504578 -0.467335661322553 -0.461769932748814 0.0360488331538149 0.0352895906990259 0.0375897471207767 0.0376049378291182 0.0340574567634467 0.0374484134964016 -0.880714367825486 -0.1368039807164 -0.848314705357781 -0.142435689214206
"result.19" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 354 200 1.68749727577731 6.78152962806522 -1.02599034336642 -1.34683394117557 -1.09931668923456 -1.10044846625123 -1.09497944500111 -1.0842321709444 0.0602912298778049 0.0592884253167064 0.0696238812479092 0.0700002815657073 0.0752571188890801 0.0736694166110776 -1.66535540161789 -0.654588439368181 -1.66134494992935 -0.645347812683214
"result.20" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 353 200 1.56291500467261 7.34261853907121 -0.307304040032371 -0.603136899979612 -0.356307672740895 -0.354969700738148 -0.34757651120695 -0.342647912436067 0.0378128545071628 0.0364217626261419 0.0376044881300172 0.0374210691669855 0.036311390541931 0.0368834710243135 -0.712959790118049 0.0403319147309168 -0.784594731899275 -0.00673096455518753
"result.21" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 382 200 1.40553567190682 8.5819537067986 -0.508768878946416 -0.783717296090054 -0.538771474664539 -0.540139850374092 -0.536877461587645 -0.531701245188132 0.0410735512523582 0.040103188393977 0.0393350848781598 0.0394330250479367 0.0427367140204897 0.0451620936462107 -0.978730519510389 -0.194037921016709 -1.01310193368355 -0.152550607888537
"result.22" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 374 200 1.66664367374334 6.68723945043225 -0.575972758608269 -0.900793755730461 -0.592316674232599 -0.593384933313449 -0.581660119549466 -0.572941471776482 0.0445893533971185 0.043444441570718 0.0522301234749543 0.0523846895348902 0.0550867930242699 0.058944962957062 -1.04799703562748 -0.144622468281283 -1.08442816116626 -0.155872235719501
"result.23" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 371 200 1.64303800044777 6.76262356111786 -0.8373985857884 -1.16194618074724 -0.898579094007167 -0.899031602498622 -0.897902087604321 -0.891218731248084 0.0462931548504255 0.0456530970509931 0.0502698596448076 0.0503153508611029 0.0499856551228878 0.0596487321863991 -1.34916645992645 -0.487474835486181 -1.40172621582614 -0.474761332378352
"result.24" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 374 200 1.57068976724217 7.21589001616546 -0.622776226194048 -0.94576956938415 -0.64857682869084 -0.648501161316299 -0.645464081738741 -0.643829514071601 0.0450851980607155 0.0442032586443766 0.0523182819644736 0.0528412944326764 0.0549794313815302 0.0638949878971967 -1.13217109335448 -0.266009034551705 -1.17038031121182 -0.217131814612817
"result.25" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 361 200 1.40688145580291 7.68785173758184 -1.05571651323112 -1.35544039522757 -1.1032460537017 -1.10621003838404 -1.09080387921386 -1.08360644562275 0.0563920858760141 0.0556415515713607 0.060094559137127 0.0604413563455299 0.0699890895678055 0.0637098959813753 -1.65861786086892 -0.635382355035235 -1.60665925814393 -0.587874893997959
"result.26" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 336 200 1.52376134687485 7.03868398841756 -0.401309913026715 -0.709344545406343 -0.408855714193257 -0.408870793440799 -0.39996090675035 -0.400247487745552 0.0374635918818067 0.0363595261930206 0.0403852352011415 0.0402993215228261 0.0412026464601224 0.0373904699017306 -0.857865278272946 -0.0742310303557847 -0.745408235779064 -0.00398140386389251
"result.27" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 360 200 1.66557028248674 6.85558232017241 -0.848958326758423 -1.15718104220463 -0.886373134199467 -0.887489143017531 -0.872719492728305 -0.871075967062425 0.0545153099115757 0.0534586868296604 0.0624473898732511 0.0626556794909088 0.0653046263845793 0.0654842849165067 -1.3328343580215 -0.435599290553248 -1.38514348318478 -0.385796622688467
"result.28" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 369 200 1.45372136428595 7.70257264127727 -0.736518269858695 -1.00292442553246 -0.778399247326824 -0.776781809435716 -0.756883480831344 -0.752745369900349 0.0454576295078836 0.0442630503475225 0.0460912319893309 0.0461003645272005 0.0466551050430186 0.0474475387068994 -1.24832163221954 -0.394305955020295 -1.2161860895876 -0.372184450295645
"result.29" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 386 200 1.58284017786836 6.56905608974493 -0.521858577220477 -0.846356688286524 -0.54986176691675 -0.553178245435566 -0.55389805337359 -0.549134828158752 0.0328721142790076 0.031910432766163 0.0352698156341779 0.0355692639097792 0.0340244920979329 0.0429135282167883 -0.922633409846951 -0.225757475314679 -0.979923283860207 -0.195499689103308
"result.30" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 366 200 1.60259568542107 6.63302518245116 -0.984687904468267 -1.2677292288184 -1.02961154116044 -1.03283219076731 -1.00773885139578 -1.01094088410976 0.0442640761767243 0.0431870157597887 0.0503990686933862 0.0508239591412985 0.0454269981270553 0.0484500255867327 -1.40765113973365 -0.604449813423318 -1.48342830125846 -0.643750962960944
"result.31" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 365 200 1.52448299384749 7.43440610270582 -0.620433090785328 -0.929959938058782 -0.655677140748956 -0.657659687968067 -0.657312065261636 -0.661235619615081 0.0452574807593232 0.0443181469796604 0.0483196903435961 0.0485335065435286 0.0566470554059254 0.062989655011737 -1.23229839817594 -0.251521564960485 -1.251499178342 -0.280168302112072
"result.32" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 359 200 1.68740465616241 6.17401297577361 -0.275258442077805 -0.642337883282182 -0.284863773951488 -0.284831339634419 -0.273256479036376 -0.278534610300831 0.0338053845101414 0.032661890084983 0.0447008862828498 0.0446928486224993 0.0493408066152145 0.0477102063283585 -0.665992244798558 0.194977001981146 -0.686623549082082 0.126181264764788
"result.33" 1000 0.2 0.1 0.25 1.5 7.5 -0.693147180559945 5 381 200 1.6022710631025 6.41371020745212 -0.689365993309301 -1.00602403715024 -0.72810605393176 -0.728979406342151 -0.70795513151593 -0.706670553239072 0.0359170236115007 0.0349594150923966 0.0420854461960012 0.0422025583973825 0.0401108067351741 0.0365405076681503 -1.17560302287647 -0.347985545929214 -1.09137560637615 -0.393858034782432
