"" "" "" "" "" "" "" "X" "Z1" "Z2" "Z3" "X" "Z1" "Z2" "Z3" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
"result.1" 1000 0.2 0.1 0.25 0.693147180559945 2 440 0.218246319530772 -0.155391967218431 0.903646722288253 0.348910990966793 -0.325362329598198 -0.0615646518066651 0.803917802135431 0.340464029228412 0.265605868016964 -0.182759354159334 0.931376702648015 0.347368316446483 0.262921419452579 -0.184319611999253 0.931228957097927 0.347816791123171 0.0151513853424363 0.00951384570168861 0.00942600902554916 0.00251473123347236 0.0146064535749448 0.00961830909547299 0.00965191195268273 0.00249170523992137 0.0291086871192518 0.0113425215539613 0.0104958874678945 0.00247302881988896 0.0291284437113537 0.0114734159201158 0.0105469074773502 0.00247429994856529
"result.2" 1000 0.2 0.1 0.25 0.693147180559945 2 457 0.388484287139598 -0.0267042311717101 0.815252633509902 0.324817406035463 -0.227816568552833 0.0794693472660675 0.688464566106156 0.323451766620038 0.602757318373112 -0.101854964352501 0.919439963010711 0.32752240254297 0.608282169119827 -0.109439452707454 0.920475420185298 0.327981894849594 0.0145094225560424 0.00921191210125205 0.00998681817362797 0.00239438017949128 0.0137181457090273 0.00926962937775629 0.0101579430856572 0.00243129861385732 0.0320596268221018 0.0110333375435623 0.0117417211014084 0.00245038073189472 0.0325764938796026 0.0112168797504906 0.0117913903501473 0.00245186264745817
"result.3" 1000 0.2 0.1 0.25 0.693147180559945 2 444 0.487557704002313 -0.170248131998106 0.863722537836994 0.454570601231972 -0.103403020398871 -0.0985078815953993 0.783215509255259 0.449368425601702 0.737303062332787 -0.269087317614889 0.938072828418529 0.456457328359371 0.726713412331764 -0.261961657316483 0.94225126671402 0.456451556682741 0.0142350789035772 0.00947995870295575 0.0104623219328319 0.00226032720543249 0.0135916954505954 0.00946315298165635 0.0106540395951554 0.00222928883677809 0.0323400741644592 0.0105420334063238 0.011532365782885 0.00206628361288219 0.0344148483862416 0.0105571007921242 0.0117594626948349 0.0020661689241874
"result.4" 1000 0.2 0.1 0.25 0.693147180559945 2 438 0.571315679220822 -0.237009681808491 0.758510220085996 0.332623974477918 -0.0242767363129934 -0.145358479852267 0.669594236390399 0.320050178335767 0.85044801581286 -0.350669295038712 0.874136040767601 0.325672520905995 0.863666690334128 -0.358300843945021 0.883641982251435 0.326533009197405 0.0139067976625542 0.00955503660765561 0.0104899742827472 0.0026033083383888 0.0130497952361599 0.00959461493817149 0.0106549380278275 0.00261290255962184 0.0273138686733667 0.0103991035721607 0.0110771056416046 0.0026504273991619 0.0279919242147845 0.0104752471826985 0.0111656635620806 0.00264980277669768
"result.5" 1000 0.2 0.1 0.25 0.693147180559945 2 453 0.586875049812545 -0.205389121703136 0.900568578487241 0.395661423567232 0.0240648443058325 -0.141239066096213 0.804711713926731 0.376690925236692 0.827906056270137 -0.287170595338623 1.01208198372269 0.397345271618026 0.824521472824772 -0.285764347449564 1.00940696948245 0.397028252609214 0.0133368867075495 0.00916356325358181 0.0105787139435615 0.00244338915210424 0.0125154820422467 0.00921657972720328 0.0106414994162439 0.00240303608585025 0.0249797999892671 0.0095392495932192 0.0106938726683659 0.00240412865262852 0.0252467801247296 0.00954510813759248 0.010683769289915 0.00240490132566237
"result.6" 1000 0.2 0.1 0.25 0.693147180559945 2 419 0.545123091699631 -0.297443003974989 0.761762280305901 0.381479489546459 -0.0230906084888578 -0.22709533185894 0.675827829106233 0.382103558060643 0.868722035824717 -0.394731228859414 0.851365400725712 0.388703185319624 0.87483859363592 -0.39589986991049 0.861007146024141 0.388722342545771 0.0146495760732536 0.00985729727725877 0.0102396735060126 0.00242816926751116 0.0139573145802282 0.00990012170339892 0.0105066399523179 0.00239318434494278 0.0318115396216401 0.0106581042334063 0.010605319851184 0.00285943141594827 0.0321735431352495 0.0106789760216033 0.0107182559603341 0.0028548559764113
"result.7" 1000 0.2 0.1 0.25 0.693147180559945 2 472 0.275956723983256 -0.00847639597221323 0.961357519577731 0.403950944477185 -0.236940860313898 0.0886079984924627 0.833566694804122 0.387495423840074 0.541583775391925 -0.0976581732089356 1.06859860532483 0.411915434585042 0.551449302597131 -0.0975370393813928 1.07770435581831 0.411889231082299 0.0141415519302916 0.00892045496252831 0.0109785572958353 0.00228857359077923 0.0135631275174393 0.00907525178743376 0.0111747224948512 0.00223455610047559 0.0309821587712163 0.00992986709056835 0.0128275423019742 0.00230754352366841 0.0313475874396999 0.00986910053699512 0.0131012529098567 0.00230517052919729
"result.8" 1000 0.2 0.1 0.25 0.693147180559945 2 447 0.584155212609716 -0.0544614261033621 0.870561084368101 0.409313361382387 0.0122737540561721 0.0240994819461187 0.771898363631339 0.398955946432427 0.961081304295548 -0.1814700298479 1.04028429731204 0.41142360766094 0.947142364710966 -0.184306348751215 1.04064005504288 0.411515025749318 0.0146613318616908 0.00934189840076532 0.0103726530697283 0.00230536080138362 0.0137275182680108 0.00934766627901892 0.010494286922394 0.00234855635051955 0.0352388198388397 0.0111237090082283 0.0123736468456939 0.00229494584306867 0.0359702709229725 0.0112122184447444 0.0124537965436491 0.00228515306557749
"result.9" 1000 0.2 0.1 0.25 0.693147180559945 2 427 0.514730859440511 -0.0502299429836039 0.916665777306611 0.460098316972606 0.0536103498341065 0.0149162243968169 0.841115715097901 0.452226993906741 0.75987563733747 -0.133680590555425 1.01114613084691 0.463146415352837 0.776967753245091 -0.143621969128057 1.02110966224227 0.463621594571373 0.0136436513335305 0.0097601407989 0.0109125713775385 0.00273629420480036 0.0130147317429606 0.00983300605468173 0.0111304529478733 0.00276587187385143 0.0309601294215777 0.010989784230038 0.0121612943446494 0.00302405390236393 0.0317514693383961 0.0111060146511513 0.012349037304211 0.00302651503499521
"result.10" 1000 0.2 0.1 0.25 0.693147180559945 2 453 0.534225403964443 -0.213068948642656 0.8033808724661 0.431512023774007 -0.0502237301137123 -0.0789403375824378 0.700277542976412 0.438538253621224 1.16338991706578 -0.436556825096751 0.9778287128247 0.433241410928299 1.2309682247077 -0.458067535764216 0.99861002672437 0.431586047115786 0.0135760477061139 0.00969034884180529 0.0100297505889387 0.0024544839310795 0.0128683029906662 0.00966139400674051 0.0100471131080425 0.00242595723701255 0.0465576166102347 0.0125699437900223 0.011072842564538 0.0023832788046828 0.0527369130327183 0.0129040722915871 0.0113482579684026 0.00239242947107811
"result.11" 1000 0.2 0.1 0.25 0.693147180559945 2 462 0.455544780311578 -0.0804628417369963 0.847093606187148 0.437473272410879 -0.108297855681546 -0.00578889791500897 0.716123354600099 0.416472727315148 0.709437183717485 -0.164426685387188 0.973041210994514 0.436816530443688 0.687689807075992 -0.166455151649392 0.973973134136773 0.436269715478195 0.0140934768134257 0.00892174105308471 0.00889042532241177 0.0027455716927794 0.0134872505988868 0.00904036207936308 0.00917794070979368 0.00266851097946617 0.167989848753055 0.0160207370812667 0.0247572867105686 0.00320194432362087 0.0882465551085002 0.0133623471858468 0.0178649513891389 0.00314935288672283
"result.12" 1000 0.2 0.1 0.25 0.693147180559945 2 443 0.384917293700298 -0.0216274412364496 0.825001423594329 0.368764854955921 -0.185723645560279 0.0522535722454073 0.724881654590491 0.35956827516048 0.563083469538824 -0.0778347130072027 0.89290477894709 0.368094376070537 0.570269130148979 -0.0809396663353847 0.895853261779674 0.368024281979559 0.0144158647424368 0.00928158865910387 0.00991265749052071 0.00236167770006669 0.0133737924215616 0.0092987273903405 0.00987152195525756 0.00238328161164529 0.0265982573740656 0.0102128300505102 0.0107874115805345 0.00244845624622054 0.0272311612902218 0.0102706116526289 0.0108452429541017 0.00244731911066204
"result.13" 1000 0.2 0.1 0.25 0.693147180559945 2 437 0.200883349632545 -0.453379497406929 0.987249238476711 0.465290524097285 -0.31623753115603 -0.374648343309596 0.896489383406758 0.456330052150341 0.378784010337499 -0.504219530592173 1.03994039487079 0.467349896111233 0.38849963996551 -0.506950680729998 1.04478821823639 0.467272100394772 0.0157854226386737 0.00969686148398368 0.0098226822854289 0.00262759748160166 0.0148639091013199 0.00978073288619584 0.0100206996528318 0.0026120979926768 0.0249729607223552 0.0102813994345867 0.00994430502092989 0.00243925365779852 0.0244841865774198 0.0102517516945474 0.00993724456264133 0.0024390649864168
