"" "" "" "" "" "" "" "X" "Z1" "Z2" "Z3" "X" "Z1" "Z2" "Z3" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
"result.1" 1000 0.2 0.1 0.25 -0.693147180559945 10 322 -0.846087889381913 -0.223373452781812 1.08500007625373 0.531356661097026 -0.987756542722159 -0.182364614984465 1.05676096211363 0.530781813000391 -0.886146026260286 -0.199362467300901 1.06031352631698 0.531536669932819 -0.887503311415188 -0.198489840577998 1.06161535238032 0.531372150929517 0.0189088058571005 0.0131559785526737 0.0132653565379231 0.00350410577627767 0.0182675596202648 0.013233118328037 0.0134000056391663 0.00351346516161995 0.0201365950890249 0.0139084583840112 0.0149887956860077 0.00357236547885177 0.0201009959074337 0.0138968930197373 0.0149680259709953 0.00357113571794186
"result.2" 1000 0.2 0.1 0.25 -0.693147180559945 10 318 -0.912477350706719 -0.236285022756687 0.754942048659812 0.386787306563243 -1.05081679393217 -0.200929881381047 0.723277100681395 0.383602467098239 -0.967293370611581 -0.21061987916825 0.729826378276503 0.386333659220551 -0.968265023537422 -0.209101193123416 0.73032175504433 0.38643028181087 0.0195857767553508 0.0135658325828594 0.0131705799122345 0.00343511893057342 0.0190409788014098 0.0136071213949751 0.0133103436801286 0.00341144191398892 0.0202942560799523 0.0138728082765666 0.0145142946722972 0.00312892685356095 0.0205888848747603 0.0138856527287556 0.0145191183329902 0.00312909470064933
"result.3" 1000 0.2 0.1 0.25 -0.693147180559945 10 307 -0.597807793886713 -0.323273291367118 0.876375785605163 0.336853463135811 -0.758175173867291 -0.296143469015548 0.839360331777038 0.334478316899556 -0.645229293028216 -0.304908846780462 0.854319177944799 0.33694089023585 -0.645984711215255 -0.304980998291728 0.854707626417807 0.33715405207623 0.0195413454643775 0.0137393882295838 0.0152839440419215 0.00370525275900278 0.0189027074428161 0.0137693842434447 0.0153664697407882 0.00370437718238317 0.0207097457823468 0.0135677666815481 0.0167917491331134 0.00381875891594934 0.0207085665450367 0.0135622091634027 0.0167826952588361 0.00381876318923704
"result.4" 1000 0.2 0.1 0.25 -0.693147180559945 10 309 -0.583779329153984 -0.388316945992582 0.850609931370861 0.420429817148516 -0.728582784068012 -0.346329570511102 0.825471473993642 0.41707769950657 -0.62872708577959 -0.36392455564244 0.831733901019407 0.419496700015252 -0.627681582253198 -0.364340598214609 0.832702686068147 0.419822495841498 0.0191983160004385 0.0142687959479874 0.0150053280993939 0.00371850100389871 0.0186505566546624 0.0143509236503196 0.0151153875906317 0.00368409940014974 0.0199881918179863 0.0140591495761102 0.0142038576696002 0.00349636822310696 0.0200216808489293 0.0140615832454307 0.0141971766912376 0.00349689702047519
"result.5" 1000 0.2 0.1 0.25 -0.693147180559945 10 328 -0.925261404904802 -0.315036289510136 0.820195194136901 0.454391845787901 -1.0634441426344 -0.283012842683841 0.789946661302595 0.452204614839142 -0.966049514198293 -0.291553225603217 0.798354920854477 0.453931418645529 -0.967160855337827 -0.291982606343975 0.799552901773771 0.453716907741758 0.0195086093163769 0.0128219594350486 0.0134526109453232 0.00338771899877589 0.0189383889626066 0.0128512372840844 0.0135986537253029 0.00339193491103504 0.0201007497418823 0.0132087871521365 0.0141611643498778 0.00350181314226106 0.0201527053436868 0.0132084947770562 0.0141573953094995 0.00350126464576532
"result.6" 1000 0.2 0.1 0.25 -0.693147180559945 10 303 -0.762357523497361 -0.181542969239956 0.956530557852638 0.364195918956582 -0.909764770656936 -0.141627506827285 0.922353833064339 0.367510040461862 -0.785448840191192 -0.162308784375813 0.93726938661077 0.363434044615069 -0.785524850791969 -0.162351873713407 0.937267340028988 0.363510825523151 0.0201514396962416 0.0140330184414811 0.0153706018044904 0.00333908858833954 0.0195348123325371 0.014098608682568 0.0155182945794273 0.00335124368153892 0.0211555558939933 0.0138389139222429 0.0150342862089636 0.00324907849802511 0.0211613845729804 0.0138331161583518 0.0150341173992941 0.00324920624873293
"result.7" 1000 0.2 0.1 0.25 -0.693147180559945 10 297 -0.808341049732469 -0.193503810968933 0.944405056286839 0.503279448181327 -0.966065265102062 -0.149291068394444 0.903549994605589 0.508816532380341 -0.852175574930955 -0.167544905636559 0.920799849536887 0.503393062289748 -0.852924713630281 -0.166865113507344 0.920648380065074 0.503130037078893 0.0223017073047033 0.014355152080802 0.0144805708322747 0.00375179373993737 0.021742842140326 0.0144199727721904 0.0145324980181181 0.00379113422805032 0.0236522578664711 0.0142949944136287 0.0140374888454832 0.00371310096357066 0.0227865713548296 0.0142639977348414 0.0139669721168719 0.0037062081033847
"result.8" 1000 0.2 0.1 0.25 -0.693147180559945 10 286 -0.42929944144683 -0.5035370910787 0.924932793179006 0.326777376619673 -0.605628136671554 -0.466982397571484 0.879481542351312 0.328422254244933 -0.469890188548553 -0.488925127103724 0.908859502609751 0.326646574562576 -0.470363488858369 -0.488075274953405 0.908730536927616 0.326885081367726 0.0209137542473841 0.0150475474264998 0.015545683867467 0.00354722005411267 0.0203921010960052 0.0150952888597187 0.0155697583469863 0.00354611196645072 0.0210578302021185 0.0160624279357647 0.015981142045655 0.00347043711899144 0.0210515725455329 0.0160591081664657 0.0159688285851949 0.00347071881742234
"result.9" 1000 0.2 0.1 0.25 -0.693147180559945 10 297 -0.659851316467373 -0.422862771516729 0.992654525261022 0.354456869711593 -0.821502742659659 -0.38188728011129 0.957639636486958 0.35736761416806 -0.674523952716773 -0.404572415593808 0.975489602428488 0.35433572691989 -0.673402666438329 -0.40283647861671 0.974887861239537 0.354242254080239 0.0217437280627599 0.0147475169746283 0.0145611899569662 0.00361561618253667 0.0210944534975655 0.0148022620540057 0.0147292136894636 0.00360790320372905 0.0236434808180504 0.0150162827297692 0.0148191196411953 0.0035471553165552 0.0236499959514444 0.0150242847303126 0.0148079410231312 0.00354582334944049
"result.10" 1000 0.2 0.1 0.25 -0.693147180559945 10 300 -0.908934297122922 -0.0534575296277659 0.706474637241573 0.314618385454701 -1.05923848221688 -0.0206490250151259 0.666356437670264 0.315169728653482 -0.960345616726733 -0.0270790516152381 0.6780874914958 0.314940091877784 -0.961426303968688 -0.0284349307603691 0.67951655982434 0.315035873648472 0.0212514124668833 0.0139716875156891 0.0127130492183698 0.00352446362299972 0.0208944060080866 0.0140004239604154 0.0127934377166714 0.00356044577588004 0.0227166177990875 0.0139224527567089 0.0128784423088389 0.00374010836616405 0.0227173340336502 0.0139100081569007 0.0128650431985198 0.00373984371111891
