"" "" "" "" "" "" "" "X" "Z1" "Z2" "Z3" "X" "Z1" "Z2" "Z3" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
"result.1" 1000 0.2 0.1 0.25 0 2 350 -0.051913581256856 -0.256459372792053 0.860857656547184 0.430201317143007 -0.595413492591626 -0.163844063222041 0.764668871677103 0.438068547562205 -0.0699757249049228 -0.249117769709182 0.853823671460343 0.430186723841035 -0.0509136764071108 -0.253102909790811 0.858654427193637 0.429971654968824 0.0184404304409061 0.0118201590113537 0.0125471380076621 0.00288031102854764 0.0175536390831565 0.0119615547696077 0.0125265659574812 0.00292787582471179 0.0321993485675178 0.0123071019695238 0.0130050740565143 0.00269191997539451 0.0331204643705428 0.0121931076533885 0.0130126744900325 0.00269113799923581
"result.2" 1000 0.2 0.1 0.25 0 2 351 0.075266409535932 -0.336581048611447 0.942114429300264 0.405394715746414 -0.451455122126782 -0.251194654194422 0.877445225059306 0.411119299778854 0.0695372911000267 -0.337600205865048 0.946663418258006 0.406408261126671 0.0635525925783625 -0.337334197408191 0.945513311605169 0.406508338544701 0.0171637721608833 0.0120627158922274 0.0134812896975631 0.00305611427333742 0.0159802823613981 0.0120575008373273 0.013515837237459 0.00307913081546613 0.0295314074604717 0.0130800028147834 0.0151318428115097 0.00320414304747527 0.029937681372918 0.0131390042558604 0.0150721918053626 0.00320453961208168
"result.3" 1000 0.2 0.1 0.25 0 2 337 -0.169440094313969 -0.244781757519764 1.03705970590711 0.337568021678055 -0.699772452615162 -0.163985799844866 0.963304681267187 0.348555139106968 -0.23860327148681 -0.212978729429493 1.01238797201032 0.338341652439931 -0.22664300420953 -0.218420629053288 1.01371788525066 0.337190586830326 0.0200131586673372 0.0122277816681687 0.0121992058632299 0.00347887348940621 0.0188308621691183 0.0123312156144454 0.0126196040192734 0.00350986820498934 0.03240886233785 0.0131683888263414 0.0121264909826629 0.00403710149663136 0.0326544476339035 0.0130329649735817 0.0121088507058571 0.00403629028699344
"result.4" 1000 0.2 0.1 0.25 0 2 370 -0.291263145576672 -0.22247928301825 0.888062704388849 0.368009830314045 -0.770028350001524 -0.113596091435113 0.829253592269157 0.35684612634894 -0.247020649826814 -0.207682726466469 0.872377770711145 0.368855979719837 -0.229090779881111 -0.210045503554874 0.876971410638392 0.369121343072095 0.0200180103585822 0.0112595612350797 0.0127560104122421 0.00279146183444122 0.019196926125358 0.0114453407535367 0.012924200612705 0.0028354797895988 0.0322316062607742 0.012365051026923 0.0121117012875768 0.00244312213158098 0.033217907331051 0.012465409596683 0.012082051823988 0.00244235554093474
"result.5" 1000 0.2 0.1 0.25 0 2 362 -0.0701392035538521 -0.409890117246569 0.649008618987349 0.360179503479775 -0.618195607755228 -0.279477446783317 0.605519802467803 0.356561656237861 -0.100233566753804 -0.395159894151969 0.641752259142088 0.359947730114957 -0.0970780055140577 -0.396176257778497 0.641687637621499 0.359769393507314 0.0179840210586892 0.0121559628771141 0.0120704792863099 0.00303062113913483 0.0171350677869767 0.0123375116822508 0.0121151646041718 0.00306305925489129 0.0300720216666756 0.0137818812123363 0.0135312023802815 0.00300088699857032 0.0303237037442206 0.0138133110449068 0.0135315680050279 0.00300026363495064
"result.6" 1000 0.2 0.1 0.25 0 2 364 0.0918809615487166 -0.267674247691209 0.873818996353924 0.293905583406475 -0.440206282128728 -0.197617960942019 0.797628860461603 0.289335650864726 0.214190238543077 -0.294983503819054 0.902102422540414 0.294132435144518 0.220244591569912 -0.29596576931242 0.902308895450473 0.294183795158883 0.018101314555119 0.0112501253820563 0.0132052815299074 0.00301340533796314 0.0172362634454237 0.0113918749420719 0.0132691201464321 0.00297538278692158 0.0340985029974673 0.0123480703132258 0.0135354088887837 0.0030562844362615 0.0341235152689878 0.0123622446705137 0.013484271639679 0.00305717028930387
"result.7" 1000 0.2 0.1 0.25 0 2 337 0.100230767821268 -0.144340966057065 0.93114322123875 0.44642685267579 -0.473610817733365 -0.029647458720617 0.836312361259597 0.442109183485008 0.290842635400752 -0.204455918924352 0.978082708909607 0.447396711527488 0.292249963739383 -0.204382448127581 0.979161443463311 0.447162693164286 0.0205363357095327 0.0125648399743738 0.0141793234426217 0.00320154283121501 0.019135718730401 0.0126738152488646 0.0143222626353571 0.00323808456564539 0.0373790990943564 0.0138146824158629 0.0144673271602324 0.0033824911083351 0.0375379888878846 0.0138282317892877 0.0145014660550052 0.00338194690311688
"result.8" 1000 0.2 0.1 0.25 0 2 364 0.220605778250613 -0.418709773079307 0.961020305521657 0.493879225056291 -0.371447573616459 -0.305341705926177 0.828037833038309 0.494267388097518 0.272435227878138 -0.448697876616824 0.995316118917384 0.494222041287158 0.262142786763006 -0.447347159580779 0.994792332496096 0.494200906479564 0.0187298724275207 0.0117337256434693 0.0133196104065704 0.0034177708023235 0.0180488521498849 0.0119090488593289 0.0135388004229765 0.00342737744442074 0.0348619123809871 0.0127637743394901 0.0154733984539293 0.00358991343113822 0.0343528951188177 0.0128715407602098 0.0156497460265576 0.00358990691344484
"result.9" 1000 0.2 0.1 0.25 0 2 394 0.144557655225035 -0.30763175773759 0.74057579389506 0.335723551247654 -0.421936600293024 -0.189626102624698 0.652756458662017 0.327939818762198 0.222224865082926 -0.334993095879316 0.764551265526697 0.335879470602924 0.21148770351398 -0.335737869658328 0.763924354424224 0.338166033928587 0.0162578655605743 0.010848534253198 0.0104483328042383 0.00223634919748148 0.0157124946371574 0.0109751651282109 0.0106583380131201 0.00225171635985793 0.0316332857613488 0.012140219580709 0.0115486191237215 0.00187051773694202 0.0309701689807277 0.0122297047563485 0.0116008059126933 0.00187422863416518
"result.10" 1000 0.2 0.1 0.25 0 2 373 -0.0751074764364371 -0.1119108788294 1.07894507074088 0.399701835919361 -0.552633958306864 -0.0413159341607527 0.999515706585191 0.409115272482785 -0.164727491642277 -0.0894579408825976 1.05743320897168 0.400278422674052 -0.165450600295531 -0.0889845122327203 1.05744411320287 0.400359373248469 0.0178616163109796 0.0111087528217962 0.0109265568755687 0.00301879335230499 0.0166347230724373 0.0111318004116797 0.0110252598311438 0.00298727839172169 0.0233521894723626 0.0113787439063824 0.0101511962623916 0.00333819094756954 0.0237388389980508 0.011400143997426 0.0101308706781513 0.00333767657325032
"result.11" 1000 0.2 0.1 0.25 0 2 405 0.000689650611614121 -0.330711301767485 0.87608255295748 0.357965009656006 -0.587463145530176 -0.246639713590139 0.783542183638394 0.359640920799613 -0.0825475261533326 -0.314790092143125 0.860708813092783 0.35881928589473 -0.0799066491882996 -0.315094197994693 0.861222808135972 0.358935609160903 0.0156279180971153 0.0101686762443942 0.0114674669156888 0.00277244568459045 0.014923283984035 0.0102659677757546 0.0118233055919907 0.00270595481751734 0.0292152988704765 0.0108848008536911 0.0126495871574048 0.00246125084347291 0.0294158432529278 0.0109998189415318 0.0126009636984513 0.00246200366325641
"result.12" 1000 0.2 0.1 0.25 0 2 378 0.18033134185676 -0.337981021844791 0.90874302099112 0.383082792490702 -0.405293685796957 -0.251680512624452 0.847065300614923 0.396914602570724 0.0865933196647064 -0.336756030887746 0.907135611178117 0.384986213820618 0.0936783396581087 -0.338578773449849 0.907405278463952 0.385137925140081 0.0164542088110054 0.010890812541698 0.0108583546794426 0.00269811092238674 0.0155393467714087 0.0110869727945297 0.0111364339038117 0.00272919156316693 0.0270486613804067 0.0118811830877036 0.00952119095735129 0.00254444035148725 0.027330891115093 0.0118816162886993 0.00954137276425437 0.00254464975555539
"result.13" 1000 0.2 0.1 0.25 0 2 378 0.0565811175651383 -0.40251050919936 1.05883190396874 0.387478992820867 -0.49280545784468 -0.320357565452145 0.985071667575212 0.385948674896271 0.0578540073069441 -0.406734782064075 1.06288518429588 0.387567662229368 0.0594499138682469 -0.407247108212957 1.06402191637431 0.387191499557818 0.0171737468878866 0.0112171362515744 0.0133873426271598 0.00289898492839854 0.015998051574621 0.0111657332121103 0.0135914729398702 0.00289868310729956 0.0298351772656338 0.0123481489303673 0.0123394893493747 0.00296164527430368 0.0299289202702007 0.0123165522448608 0.012473038525401 0.00296026550976983
"result.14" 1000 0.2 0.1 0.25 0 2 364 -0.218232986478476 -0.316481405919413 0.830420399269595 0.546295881505129 -0.761582704171054 -0.24633500609643 0.718507415102103 0.551506468849734 -0.14814644575595 -0.3095425092274 0.833682231605682 0.544752041950651 -0.149020189678436 -0.312046962046474 0.831002207217667 0.544480850222146 0.0198318007548274 0.0111704532489387 0.0117015957520808 0.00317438307997048 0.0189061076670493 0.0112587065395338 0.0116466708542405 0.0031862713582149 0.0441733859781671 0.0122820871015431 0.01306889984558 0.00321409513189118 0.0435503839985525 0.0121828937870157 0.0129948637755098 0.00321379891838045
"result.15" 1000 0.2 0.1 0.25 0 2 342 0.19982820084197 -0.226592397502865 1.00095850011472 0.484823703947456 -0.389388811163255 -0.123517798723372 0.90274290043001 0.465315577842721 0.372835711960636 -0.286825794795934 1.05040556856124 0.487667655401651 0.370212938060221 -0.285731659524007 1.05140928909598 0.487743711197203 0.0191540721079476 0.0122079632641033 0.0125970846683618 0.00305153002920824 0.0180253067167622 0.012344721020919 0.012858288741945 0.00299875025911854 0.0474255532791557 0.0139190036206309 0.0126024771582767 0.00263945741734868 0.0466005014611267 0.0137418625166031 0.0126495684478595 0.00264053342343137
"result.16" 1000 0.2 0.1 0.25 0 2 336 -0.0223683544602531 -0.346246767770692 0.92087751084054 0.305371231129163 -0.581046407884415 -0.26098252082497 0.830347471771747 0.317013439083493 -0.0226294150218403 -0.344188537506277 0.919383773665844 0.305189973806057 -0.0255515700660954 -0.344194692775184 0.918878333887737 0.305224874506457 0.0197727103351747 0.0125260096876055 0.0136269272516626 0.00334640787954272 0.0183672260604007 0.0125904098604721 0.0133259007420376 0.00334658129183393 0.0316452751098029 0.0134530137722168 0.013741880719273 0.00312611994905368 0.0315414450038922 0.0134648452590518 0.0136137286373303 0.00312648206855193
"result.17" 1000 0.2 0.1 0.25 0 2 365 -0.0855355592817217 -0.0868997869829062 0.918143907294646 0.326356971553961 -0.594372275218982 0.00888281406529486 0.834295156948795 0.323662685349724 -0.147958779932524 -0.0644761094907448 0.900438615473511 0.325768778484113 -0.147309854011534 -0.0678329382743309 0.902350908059393 0.324982566751236 0.0178806804918559 0.0113494649850573 0.0120693941670025 0.00283132765609027 0.0173464306146804 0.0115844708651844 0.0122713157567549 0.00284432112598963 0.029749545091387 0.0125306253954442 0.0128763139277362 0.00296020916416581 0.029966740157357 0.012468984923787 0.0129139701758861 0.00296040435071107
"result.18" 1000 0.2 0.1 0.25 0 2 372 0.0750973784195817 -0.319292587894815 0.897084009244191 0.434255919392412 -0.474427871344062 -0.232525950687772 0.789277895426037 0.438356395272904 0.166594865174577 -0.345414444054934 0.919570059615748 0.434476458828535 0.157794439820639 -0.342479221810718 0.919508589849613 0.434044039908031 0.0169880794498561 0.0111627959087344 0.0122492525911214 0.00275741992891584 0.0163319522386265 0.011275564015016 0.0123238484652478 0.0027781101408935 0.0323607554227126 0.0118559835104634 0.0116146308006454 0.00271823176772527 0.0313077484740862 0.0117910569421337 0.0117128839910929 0.0027168893683435
"result.19" 1000 0.2 0.1 0.25 0 2 355 -0.152371321232517 -0.111808887857078 0.882746683001809 0.349963843624476 -0.618845113384576 -0.0300227590773273 0.784139119718929 0.344652302815508 -0.271548950414046 -0.0788144175330938 0.842331571867579 0.347823588098705 -0.275912576654939 -0.077487487451137 0.840429670911961 0.347460047740951 0.0190303616543491 0.0115775266379185 0.013282994432589 0.00290120706967148 0.0181023829767097 0.0117201361706471 0.0134869387312209 0.00294438945457586 0.0255401555830482 0.0122922254652059 0.0145779788971112 0.00341139642908862 0.025352043167074 0.0122968220075555 0.0145903212807508 0.00341090507636828
"result.20" 1000 0.2 0.1 0.25 0 2 375 -0.136054352008374 -0.269012019256424 0.9405026747203 0.486991923295724 -0.698172264178088 -0.172997276434661 0.840891407951861 0.48031137081274 -0.105367871079892 -0.264287395427474 0.938222809339976 0.486986020998436 -0.0876252063375846 -0.268654016587956 0.940537377406107 0.486950415749859 0.0174674846106814 0.011160292167702 0.0126135691471504 0.00281232439785765 0.0167147942968127 0.011256395044039 0.0131253388010413 0.00280913818071638 0.0282419567605732 0.0116666082953189 0.0128647202816878 0.00282178474030899 0.028382605076177 0.0116665248917975 0.0129391357752791 0.002823775942193
"result.21" 1000 0.2 0.1 0.25 0 2 350 -0.210547814981774 -0.352499079863818 0.789543006021734 0.532635558664507 -0.689282355293503 -0.241675773424809 0.713575452204591 0.532539757724086 -0.232150449621996 -0.323568728445169 0.771444411747624 0.5298528035406 -0.24315308546868 -0.322518113505452 0.768676502858253 0.531256003705038 0.0194447991721317 0.0125226151827024 0.0130634441158831 0.00311002211325796 0.0184941512276397 0.0126690840340851 0.013212201644564 0.00307688435249507 0.0295190538856942 0.0142905941554679 0.0138420000514405 0.00354719840075894 0.0295200737352892 0.0142800370122771 0.0138340875581229 0.00355514603067911
"result.22" 1000 0.2 0.1 0.25 0 2 359 -0.136273681535585 -0.319448744670813 0.912821801413783 0.356980346616069 -0.722197647477319 -0.22954813690436 0.833049575803282 0.366582074621235 -0.332071564074284 -0.269585253426941 0.86814141758094 0.359995595912888 -0.329174946273529 -0.271731450509263 0.869906097821594 0.359875110580535 0.0195081858262894 0.0116669941346159 0.00985737510475447 0.00293318181076969 0.0182546480541391 0.0117417629845483 0.0100525930897369 0.00288291872163518 0.0298804328958001 0.0128794546085269 0.0109137034768957 0.00297063926891392 0.0301891318425149 0.0128502580963854 0.0108887292620312 0.0029699253958553
